freq_hz,impedance_ohm,phase_deg
20.00,,
21.20,,
22.46,,
23.80,,
25.23,,
26.74,,
28.33,,
30.03,,
31.82,,
33.72,,
35.74,,
37.87,,
40.14,,
42.54,,
45.08,,
47.77,,
50.63,,
53.65,,
56.86,,
60.26,,
63.86,,
67.68,,
71.72,,
76.01,,
80.55,,
85.37,,
90.47,,
95.87,,
101.60,7.6204,
107.68,7.0205,
114.11,6.4677,
120.93,6.0119,
128.16,5.6890,
135.82,5.3835,
143.94,5.0187,
152.54,4.7778,
161.66,4.5618,
171.32,4.3894,
181.56,4.2353,
192.41,4.1233,
203.91,4.0143,
216.09,3.9082,
229.01,3.8734,
242.70,3.8048,
257.20,3.7665,
272.57,3.7375,
288.86,3.7375,
306.13,3.7042,
324.42,3.6713,
343.81,3.6713,
364.36,3.6713,
386.14,3.6844,
409.22,3.7042,
433.68,3.7042,
459.59,3.7355,
487.06,3.7415,
516.17,3.7812,
547.02,3.8213,
579.72,3.8618,
614.36,3.9027,
651.08,3.9432,
689.99,4.0143,
731.23,4.0503,
774.94,4.1233,
821.25,4.1977,
870.33,4.2733,
922.35,4.3504,
977.47,4.3894,
1035.89,4.5086,
1097.81,4.5899,
1163.42,4.6726,
1232.95,4.7568,
1306.64,4.7995,
1384.73,4.8588,
1467.49,4.9299,
1555.20,4.9741,
1648.15,5.0638,
1746.65,5.1595,
1851.04,5.2950,
1961.67,5.4126,
2078.91,5.5369,
2203.16,5.6781,
2334.84,5.7898,
2474.38,5.9470,
2622.27,6.1633,
2778.99,6.3307,
2945.08,6.5027,
3121.10,6.7392,
3307.63,6.9274,
3505.32,7.1910,
3714.82,7.3983,
3936.84,7.6798,
4172.13,7.8443,
4421.48,8.1297,
4685.74,8.4380,
4965.79,8.7591,
5262.57,9.0924,
5577.10,9.4628,
5910.42,9.8853,
6263.66,10.2549,
6638.02,10.6280,
7034.75,10.8615,
7455.19,11.2748,
7900.76,11.7037,
8372.95,12.1518,
8873.37,12.7068,
9403.70,13.1690,
9965.73,13.6480,
10561.34,,
11192.55,,
11861.49,,
12570.41,,
13321.69,,
14117.88,,
14961.65,,
15855.85,,
16803.50,,
17807.78,,
18872.09,,
20000.00,,
