freq_hz,spl_db,spl_offaxis1_db,spl_offaxis2_db
20.00,75.5,,
21.19,75.5,,
22.45,77.0,,
23.78,78.4,,
25.20,79.2,,
26.70,78.7,,
28.28,77.9,,
29.97,79.1,,
31.75,80.7,,
33.64,82.2,,
35.64,82.6,,
37.75,83.4,,
40.00,84.2,,
42.38,84.6,,
44.90,84.5,,
47.57,83.3,,
50.40,84.1,,
53.39,85.9,,
56.57,87.9,,
59.93,89.0,,
63.50,89.1,,
67.27,88.7,,
71.27,88.6,,
75.51,89.5,,
80.00,90.2,,
84.76,90.6,,
89.80,90.7,,
95.14,90.8,,
100.79,90.0,,
106.79,91.4,,
113.14,92.0,,
119.86,92.3,,
126.99,92.6,,
134.54,92.8,,
142.54,92.8,,
151.02,92.8,92.2,92.4
160.00,92.7,92.2,92.4
169.51,92.6,92.2,92.4
179.59,92.6,92.2,92.4
190.27,92.8,92.2,92.4
201.59,92.8,92.3,92.3
213.57,92.5,92.2,92.3
226.27,92.3,92.3,92.3
239.73,92.4,92.1,92.3
253.98,92.2,92.0,92.3
269.09,92.2,92.1,92.2
285.09,92.4,92.3,92.1
302.04,92.6,92.5,92.4
320.00,92.7,92.3,92.6
339.03,92.9,92.5,92.7
359.19,92.8,92.4,92.5
380.55,92.7,92.0,92.4
403.17,92.5,91.9,92.1
427.15,92.3,91.9,92.0
452.55,92.0,91.9,91.7
479.46,91.8,91.9,91.7
507.97,92.1,91.9,91.9
538.17,92.3,91.8,92.0
570.18,92.4,92.0,92.2
604.08,92.4,92.0,92.2
640.00,92.2,91.9,92.0
678.06,92.2,91.6,91.8
718.38,92.3,91.4,91.8
761.09,92.3,91.4,92.0
806.35,92.1,91.4,92.0
854.30,92.3,91.3,91.9
905.10,92.3,91.2,91.9
958.92,92.1,91.1,91.9
1015.94,91.5,91.0,92.0
1076.35,92.6,91.2,92.1
1140.35,93.0,90.8,91.8
1208.16,93.1,90.7,92.0
1280.00,93.5,90.6,92.1
1356.11,93.9,90.6,92.5
1436.75,94.0,90.4,92.4
1522.19,94.1,90.2,92.5
1612.70,94.0,89.9,92.6
1708.60,94.0,90.0,92.7
1810.19,94.3,89.9,92.8
1917.83,94.4,89.8,92.7
2031.87,94.5,89.3,92.6
2152.69,94.5,88.7,92.3
2280.70,94.2,87.8,91.8
2416.32,93.9,86.6,91.2
2560.00,93.3,85.5,90.6
2712.23,92.9,84.5,90.1
2873.50,92.6,82.8,89.6
3044.37,92.6,81.0,89.5
3225.40,92.9,78.1,89.6
3417.19,93.7,76.0,89.6
3620.39,94.4,77.1,89.3
3835.67,94.4,79.4,88.8
4063.75,94.2,80.5,88.1
4305.39,94.0,80.4,87.0
4561.40,93.7,79.8,85.6
4832.64,93.4,79.0,84.9
5120.00,92.9,76.6,84.7
5424.45,92.4,73.9,84.3
5747.01,91.9,71.2,84.2
6088.74,91.7,63.5,82.1
6450.80,91.7,61.9,79.0
6834.38,91.4,66.9,77.8
7240.77,91.2,64.7,78.1
7671.33,91.0,61.9,76.1
8127.49,91.0,67.5,72.1
8610.78,90.9,70.8,70.7
9122.80,90.2,70.6,72.4
9665.27,88.5,69.8,74.8
10240.00,87.4,70.2,74.9
10848.90,86.7,69.6,70.9
11494.01,83.8,65.9,67.7
12177.48,79.6,59.5,67.2
12901.59,76.2,56.3,65.4
13668.76,74.2,57.1,61.2
14481.55,72.5,55.3,55.4
15342.66,71.8,54.1,53.3
16254.99,68.6,52.5,53.2
17221.56,65.5,51.5,51.7
18245.61,68.8,51.7,54.3
19330.55,70.1,51.9,54.5
