freq_hz,impedance_ohm,phase_deg
20.00,4.4427,29.80
21.20,4.5430,31.25
22.46,4.6642,32.66
23.80,4.8086,34.07
25.23,4.9651,36.10
26.74,5.1927,37.90
28.33,5.5056,40.10
30.03,5.9329,42.23
31.82,6.4390,43.97
33.72,7.1675,45.42
35.74,8.1839,45.87
37.87,9.4958,45.57
40.14,11.3575,42.84
42.54,14.0261,36.56
45.08,16.9400,24.30
47.77,18.5884,4.70
50.63,16.7781,-16.44
53.65,13.2732,-28.83
56.86,10.2971,-34.68
60.26,8.4326,-35.30
63.86,7.3087,-33.91
67.68,6.4706,-32.08
71.72,5.8544,-29.00
76.01,5.3762,-25.96
80.55,4.9980,-22.79
85.37,4.7090,-20.28
90.47,4.5122,-18.23
95.87,4.3977,-16.34
101.60,4.3354,-13.07
107.68,4.2723,-10.84
114.11,4.1664,-8.80
120.93,4.0816,-6.92
128.16,4.0377,-5.41
135.82,4.0005,-3.20
143.94,3.9734,-1.60
152.54,3.9572,-0.33
161.66,3.9411,1.87
171.32,3.9357,3.13
181.56,3.9411,5.00
192.41,3.9411,6.51
203.91,3.9518,7.81
216.09,3.9680,9.29
229.01,3.9842,10.42
242.70,4.0060,11.68
257.20,4.0388,13.27
272.57,4.0692,14.53
288.86,4.1053,15.94
306.13,4.1502,17.06
324.42,4.1956,18.65
343.81,4.2473,19.91
364.36,4.2997,20.86
386.14,4.3538,21.94
409.22,4.4183,23.40
433.68,4.4910,24.66
459.59,4.5682,25.61
487.06,4.6525,27.19
516.17,4.7514,28.14
547.02,4.8384,29.21
579.72,4.9285,30.68
614.36,5.0485,31.63
651.08,5.1526,32.57
689.99,5.2588,33.84
731.23,5.3974,34.79
774.94,5.5534,35.78
821.25,5.7295,36.69
870.33,5.9032,37.32
922.35,6.0335,37.64
977.47,6.1148,38.28
1035.89,6.2168,39.22
1097.81,6.3578,40.41
1163.42,6.5173,41.44
1232.95,6.7057,42.39
1306.64,6.9105,43.97
1384.73,7.1332,44.92
1467.49,7.3491,45.56
1555.20,7.5814,46.51
1648.15,7.8309,47.46
1746.65,8.0928,48.41
1851.04,8.3836,48.72
1961.67,8.6815,49.67
2078.91,8.9929,50.30
2203.16,9.3281,50.62
2334.84,9.6698,51.25
2474.38,9.9818,51.57
2622.27,10.2976,52.20
2778.99,10.6293,52.52
2945.08,11.0194,53.15
3121.10,11.3634,53.47
3307.63,11.7436,54.18
3505.32,12.1947,55.05
3714.82,12.6502,55.10
3936.84,13.1077,55.37
4172.13,13.5942,56.00
4421.48,14.0823,56.32
4685.74,14.5690,56.32
4965.79,15.1312,56.95
5262.57,15.6521,57.27
5577.10,16.2076,57.27
5910.42,16.7900,57.90
6263.66,17.4171,57.96
6638.02,18.0429,58.22
7034.75,18.6672,58.85
7455.19,19.3367,58.85
7900.76,20.0301,59.17
8372.95,20.7487,59.17
8873.37,21.5169,59.17
9403.70,22.2869,59.80
9965.73,23.0846,59.80
10561.34,23.8560,60.43
11192.55,24.7116,60.64
11861.49,25.6176,60.75
12570.41,26.5344,61.08
13321.69,27.4289,61.38
14117.88,28.4294,61.70
14961.65,29.4465,61.70
15855.85,30.5283,62.33
16803.50,31.6232,62.65
17807.78,32.8019,62.65
18872.09,33.9477,63.28
20000.00,,
