freq_hz,impedance_ohm,phase_deg
20.00,,
21.20,,
22.46,,
23.80,,
25.23,,
26.74,,
28.33,,
30.03,,
31.82,,
33.72,,
35.74,,
37.87,,
40.14,,
42.54,,
45.08,,
47.77,,
50.63,,
53.65,,
56.86,,
60.26,,
63.86,,
67.68,,
71.72,,
76.01,,
80.55,,
85.37,,
90.47,,
95.87,,
101.60,,
107.68,,
114.11,,
120.93,,
128.16,,
135.82,,
143.94,,
152.54,,
161.66,,
171.32,,
181.56,,
192.41,,
203.91,,
216.09,4.5899,
229.01,4.5899,
242.70,4.6311,
257.20,4.6311,
272.57,4.6726,
288.86,4.6726,
306.13,4.7145,
324.42,4.7649,
343.81,4.8166,
364.36,4.8426,
386.14,4.9299,
409.22,4.9747,
433.68,5.0638,
459.59,5.1550,
487.06,5.2777,
516.17,5.4310,
547.02,5.5866,
579.72,5.7383,
614.36,5.9713,
651.08,6.2744,
689.99,6.6714,
731.23,7.1787,
774.94,7.7940,
821.25,8.6918,
870.33,9.7800,
922.35,11.1031,
977.47,12.6053,
1035.89,13.4434,
1097.81,13.1690,
1163.42,11.7547,
1232.95,10.0869,
1306.64,8.7999,
1384.73,7.7281,
1467.49,7.0130,
1555.20,6.5027,
1648.15,6.1085,
1746.65,5.7383,
1851.04,5.4876,
1961.67,5.3425,
2078.91,5.2013,
2203.16,5.1092,
2334.84,5.0102,
2474.38,4.9299,
2622.27,4.8860,
2778.99,4.8426,
2945.08,4.8426,
3121.10,4.8426,
3307.63,4.8426,
3505.32,4.8426,
3714.82,4.8426,
3936.84,4.8426,
4172.13,4.8860,
4421.48,4.9299,
4685.74,4.9741,
4965.79,4.9741,
5262.57,4.9741,
5577.10,5.0187,
5910.42,5.0638,
6263.66,5.0638,
6638.02,5.1550,
7034.75,5.2013,
7455.19,5.2479,
7900.76,5.2950,
8372.95,5.3905,
8873.37,5.4876,
9403.70,5.5866,
9965.73,5.6367,
10561.34,,
11192.55,,
11861.49,,
12570.41,,
13321.69,,
14117.88,,
14961.65,,
15855.85,,
16803.50,,
17807.78,,
18872.09,,
20000.00,,
