freq_hz,spl_db,spl_30deg_db,spl_60deg_db
20.00,,,
21.20,,,
22.46,,,
23.80,,,
25.23,,,
26.74,,,
28.33,,,
30.03,,,
31.82,,,
33.72,,,
35.74,,,
37.87,,,
40.14,,,
42.54,,,
45.08,,,
47.77,,,
50.63,,,
53.65,,,
56.86,,,
60.26,,,
63.86,,,
67.68,,,
71.72,,,
76.01,,,
80.55,,,
85.37,,,
90.47,,,
95.87,,,
101.60,55.37,57.18,57.63
107.68,55.20,57.95,58.47
114.11,52.60,58.58,59.26
120.93,53.64,59.53,59.90
128.16,59.13,60.44,60.85
135.82,56.62,61.33,61.18
143.94,52.69,62.36,62.16
152.54,52.69,63.15,63.56
161.66,63.89,64.55,64.97
171.32,64.04,66.00,66.40
181.56,66.75,67.39,67.61
192.41,57.32,68.07,68.44
203.91,60.70,69.03,69.42
216.09,69.70,70.41,70.57
229.01,64.82,71.75,71.72
242.70,53.09,72.70,72.87
257.20,63.12,73.63,73.89
272.57,54.25,74.61,74.89
288.86,74.93,75.65,75.89
306.13,54.43,77.09,76.89
324.42,55.62,78.02,77.89
343.81,66.31,79.35,78.89
364.36,62.74,80.78,79.89
386.14,54.23,81.56,80.89
409.22,68.38,82.32,81.89
433.68,63.05,82.74,82.89
459.59,64.87,83.62,83.89
487.06,59.62,84.65,85.07
516.17,57.12,86.07,86.41
547.02,59.37,86.76,87.11
579.72,59.98,87.45,87.83
614.36,62.18,88.49,88.79
651.08,64.81,88.88,89.24
689.99,68.00,89.65,90.03
731.23,70.89,90.74,91.11
774.94,76.47,91.60,91.84
821.25,70.63,92.26,92.28
870.33,67.22,92.41,92.33
922.35,63.88,92.66,92.37
977.47,61.14,92.36,92.42
1035.89,58.92,92.12,92.46
1097.81,57.50,92.22,92.42
1163.42,56.51,92.02,92.36
1232.95,55.68,91.97,92.24
1306.64,55.08,91.77,92.07
1384.73,54.74,91.78,92.11
1467.49,65.78,91.37,91.68
1555.20,63.99,91.33,91.60
1648.15,53.91,91.42,91.65
1746.65,53.67,91.21,91.49
1851.04,58.66,91.01,91.28
1961.67,53.24,90.55,91.06
2078.91,53.34,90.63,91.04
2203.16,53.24,90.63,91.01
2334.84,53.24,91.22,90.99
2474.38,53.28,91.32,90.98
2622.27,53.24,91.02,90.63
2778.99,53.24,90.88,90.38
2945.08,53.24,91.22,90.63
3121.10,53.29,91.09,90.58
3307.63,53.39,91.02,90.23
3505.32,53.36,90.98,90.38
3714.82,53.49,91.07,90.42
3936.84,53.54,91.02,90.13
4172.13,72.58,91.33,89.99
4421.48,53.59,91.77,90.38
4685.74,53.59,91.87,90.33
4965.79,53.68,91.32,89.74
5262.57,58.44,91.27,89.69
5577.10,53.69,91.12,89.45
5910.42,53.79,90.73,89.09
6263.66,53.88,91.07,89.49
6638.02,53.88,91.37,89.62
7034.75,53.85,91.27,89.22
7455.19,53.93,90.93,88.84
7900.76,54.08,90.92,88.64
8372.95,54.04,90.53,88.15
8873.37,54.08,90.43,88.00
9403.70,54.28,90.47,88.15
9965.73,57.90,90.44,87.95
10561.34,67.84,90.28,87.07
11192.55,73.32,90.20,85.98
11861.49,73.52,89.83,84.77
12570.41,73.67,89.59,83.81
13321.69,66.56,89.44,83.25
14117.88,68.21,88.71,82.15
14961.65,69.70,87.53,80.75
15855.85,73.67,87.11,79.81
16803.50,55.87,86.71,77.78
17807.78,73.77,85.23,76.05
18872.09,73.72,84.00,74.13
20000.00,59.33,82.27,72.94
