fc_Hz,fs_margin_Hz,rel_excursion_dB,di_mismatch_dB,spl_at_15_dB,null_angle_deg,null_depth_dB,ripple_dB,composite_score
800,50,2.52,3.52,-0.36,90,-6.8,4.75,3.84
850,100,3.57,3.70,-0.40,90,-8.1,4.75,4.60
900,150,4.57,3.88,-0.45,90,-9.6,4.75,5.31
950,200,5.51,4.07,-0.51,90,-11.5,4.75,6.07
1000,250,6.40,4.26,-0.56,90,-14.0,4.75,6.92
1050,300,7.24,4.45,-0.62,90,-17.6,4.75,7.66
1100,350,8.05,4.65,-0.68,90,-23.9,4.75,8.12
1150,400,8.82,4.85,-0.75,86,-81.7,4.75,8.16
1200,450,9.56,5.06,-0.82,73,-71.6,4.75,8.20
1250,500,10.27,5.27,-0.89,67,-66.5,4.75,8.15
1300,550,10.95,5.49,-0.96,62,-84.3,4.75,8.05
1350,600,11.61,5.72,-1.04,58,-65.0,4.75,7.92
1400,650,12.24,5.95,-1.13,55,-58.9,4.75,7.77
1450,700,12.85,6.18,-1.21,52,-54.8,4.75,7.60
1500,750,13.44,6.43,-1.30,50,-62.3,4.75,7.41
1550,800,14.01,6.68,-1.39,48,-57.9,4.75,7.21
1600,850,14.56,6.94,-1.49,46,-53.3,4.75,6.99
