freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
15.000,-0.0009,-16.2594,-80.0009,161.5306,-149.2241,177.7900,-0.0017,-16.2592
15.090,-0.0009,-16.3579,-79.7924,161.4188,-149.0156,177.7767,-0.0018,-16.3577
15.181,-0.0009,-16.4570,-79.5839,161.3063,-148.8071,177.7633,-0.0018,-16.4568
15.272,-0.0009,-16.5568,-79.3754,161.1931,-148.5986,177.7498,-0.0019,-16.5565
15.364,-0.0010,-16.6571,-79.1669,161.0792,-148.3901,177.7363,-0.0019,-16.6569
15.457,-0.0010,-16.7581,-78.9585,160.9646,-148.1816,177.7227,-0.0020,-16.7578
15.550,-0.0010,-16.8596,-78.7500,160.8493,-147.9731,177.7090,-0.0020,-16.8594
15.644,-0.0010,-16.9618,-78.5415,160.7333,-147.7646,177.6952,-0.0021,-16.9616
15.738,-0.0011,-17.0647,-78.3330,160.6166,-147.5561,177.6813,-0.0021,-17.0644
15.832,-0.0011,-17.1681,-78.1246,160.4992,-147.3476,177.6673,-0.0022,-17.1678
15.928,-0.0011,-17.2722,-77.9161,160.3811,-147.1391,177.6533,-0.0022,-17.2719
16.024,-0.0011,-17.3770,-77.7076,160.2622,-146.9306,177.6392,-0.0023,-17.3767
16.120,-0.0012,-17.4824,-77.4991,160.1426,-146.7221,177.6250,-0.0023,-17.4820
16.217,-0.0012,-17.5884,-77.2906,160.0223,-146.5136,177.6107,-0.0024,-17.5881
16.315,-0.0012,-17.6951,-77.0822,159.9012,-146.3051,177.5963,-0.0024,-17.6947
16.413,-0.0012,-17.8024,-76.8737,159.7794,-146.0966,177.5818,-0.0025,-17.8021
16.512,-0.0013,-17.9104,-76.6652,159.6568,-145.8881,177.5672,-0.0025,-17.9101
16.611,-0.0013,-18.0191,-76.4568,159.5335,-145.6796,177.5526,-0.0026,-18.0187
16.711,-0.0013,-18.1284,-76.2483,159.4094,-145.4711,177.5379,-0.0027,-18.1281
16.812,-0.0014,-18.2385,-76.0398,159.2846,-145.2626,177.5230,-0.0027,-18.2381
16.913,-0.0014,-18.3491,-75.8313,159.1590,-145.0541,177.5081,-0.0028,-18.3487
17.015,-0.0014,-18.4605,-75.6229,159.0326,-144.8456,177.4931,-0.0029,-18.4601
17.117,-0.0015,-18.5726,-75.4144,158.9055,-144.6370,177.4780,-0.0029,-18.5722
17.220,-0.0015,-18.6853,-75.2059,158.7775,-144.4285,177.4628,-0.0030,-18.6849
17.324,-0.0015,-18.7988,-74.9975,158.6488,-144.2200,177.4476,-0.0031,-18.7983
17.428,-0.0016,-18.9129,-74.7890,158.5193,-144.0115,177.4322,-0.0032,-18.9125
17.533,-0.0016,-19.0278,-74.5805,158.3890,-143.8030,177.4167,-0.0032,-19.0273
17.638,-0.0017,-19.1433,-74.3721,158.2579,-143.5945,177.4012,-0.0033,-19.1428
17.745,-0.0017,-19.2596,-74.1636,158.1259,-143.3860,177.3856,-0.0034,-19.2591
17.851,-0.0017,-19.3766,-73.9552,157.9932,-143.1775,177.3698,-0.0035,-19.3761
17.959,-0.0018,-19.4943,-73.7467,157.8596,-142.9690,177.3540,-0.0036,-19.4938
18.067,-0.0018,-19.6128,-73.5382,157.7253,-142.7605,177.3380,-0.0037,-19.6122
18.176,-0.0019,-19.7320,-73.3298,157.5901,-142.5520,177.3220,-0.0037,-19.7314
18.285,-0.0019,-19.8519,-73.1213,157.4540,-142.3435,177.3059,-0.0038,-19.8513
18.395,-0.0020,-19.9725,-72.9129,157.3171,-142.1350,177.2897,-0.0039,-19.9719
18.506,-0.0020,-20.0940,-72.7044,157.1794,-141.9265,177.2734,-0.0040,-20.0933
18.617,-0.0021,-20.2161,-72.4960,157.0408,-141.7180,177.2569,-0.0041,-20.2155
18.729,-0.0021,-20.3390,-72.2875,156.9014,-141.5095,177.2404,-0.0042,-20.3384
18.842,-0.0022,-20.4627,-72.0790,156.7611,-141.3010,177.2238,-0.0043,-20.4620
18.956,-0.0022,-20.5872,-71.8706,156.6200,-141.0925,177.2071,-0.0044,-20.5864
19.070,-0.0023,-20.7124,-71.6621,156.4779,-140.8840,177.1903,-0.0045,-20.7116
19.184,-0.0023,-20.8384,-71.4537,156.3350,-140.6755,177.1734,-0.0046,-20.8376
19.300,-0.0024,-20.9651,-71.2453,156.1912,-140.4670,177.1564,-0.0048,-20.9644
19.416,-0.0024,-21.0927,-71.0368,156.0465,-140.2585,177.1392,-0.0049,-21.0919
19.533,-0.0025,-21.2211,-70.8284,155.9010,-140.0500,177.1220,-0.0050,-21.2202
19.651,-0.0026,-21.3502,-70.6199,155.7545,-139.8415,177.1047,-0.0051,-21.3494
19.769,-0.0026,-21.4802,-70.4115,155.6071,-139.6330,177.0873,-0.0052,-21.4793
19.888,-0.0027,-21.6109,-70.2030,155.4588,-139.4245,177.0697,-0.0054,-21.6100
20.008,-0.0027,-21.7425,-69.9946,155.3096,-139.2160,177.0521,-0.0055,-21.7416
20.128,-0.0028,-21.8749,-69.7862,155.1594,-139.0075,177.0343,-0.0056,-21.8739
20.249,-0.0029,-22.0081,-69.5777,155.0083,-138.7990,177.0165,-0.0058,-22.0071
20.371,-0.0030,-22.1422,-69.3693,154.8563,-138.5905,176.9985,-0.0059,-22.1412
20.494,-0.0030,-22.2771,-69.1609,154.7034,-138.3820,176.9804,-0.0060,-22.2760
20.617,-0.0031,-22.4128,-68.9524,154.5495,-138.1735,176.9623,-0.0062,-22.4117
20.741,-0.0032,-22.5494,-68.7440,154.3946,-137.9650,176.9440,-0.0063,-22.5482
20.866,-0.0033,-22.6868,-68.5356,154.2388,-137.7565,176.9256,-0.0065,-22.6856
20.991,-0.0033,-22.8251,-68.3272,154.0820,-137.5479,176.9071,-0.0067,-22.8239
21.118,-0.0034,-22.9642,-68.1187,153.9242,-137.3394,176.8884,-0.0068,-22.9630
21.245,-0.0035,-23.1042,-67.9103,153.7655,-137.1309,176.8697,-0.0070,-23.1030
21.373,-0.0036,-23.2451,-67.7019,153.6057,-136.9224,176.8509,-0.0072,-23.2438
21.501,-0.0037,-23.3869,-67.4935,153.4450,-136.7139,176.8319,-0.0073,-23.3855
21.631,-0.0038,-23.5295,-67.2851,153.2833,-136.5054,176.8128,-0.0075,-23.5282
21.761,-0.0038,-23.6731,-67.0767,153.1206,-136.2969,176.7936,-0.0077,-23.6717
21.892,-0.0039,-23.8175,-66.8683,152.9568,-136.0884,176.7743,-0.0079,-23.8161
22.024,-0.0040,-23.9629,-66.6598,152.7920,-135.8799,176.7549,-0.0081,-23.9614
22.156,-0.0041,-24.1091,-66.4514,152.6262,-135.6714,176.7354,-0.0083,-24.1076
22.290,-0.0042,-24.2563,-66.2430,152.4594,-135.4629,176.7157,-0.0085,-24.2547
22.424,-0.0043,-24.4044,-66.0346,152.2915,-135.2544,176.6959,-0.0087,-24.4028
22.559,-0.0044,-24.5534,-65.8262,152.1226,-135.0459,176.6760,-0.0089,-24.5517
22.695,-0.0046,-24.7034,-65.6178,151.9526,-134.8374,176.6560,-0.0091,-24.7017
22.831,-0.0047,-24.8543,-65.4095,151.7816,-134.6289,176.6359,-0.0093,-24.8525
22.969,-0.0048,-25.0062,-65.2011,151.6095,-134.4204,176.6156,-0.0095,-25.0043
23.107,-0.0049,-25.1590,-64.9927,151.4363,-134.2119,176.5953,-0.0098,-25.1571
23.246,-0.0050,-25.3127,-64.7843,151.2620,-134.0034,176.5748,-0.0100,-25.3108
23.386,-0.0051,-25.4675,-64.5759,151.0867,-133.7949,176.5541,-0.0103,-25.4654
23.527,-0.0053,-25.6232,-64.3675,150.9102,-133.5864,176.5334,-0.0105,-25.6211
23.668,-0.0054,-25.7799,-64.1592,150.7327,-133.3779,176.5125,-0.0108,-25.7777
23.811,-0.0055,-25.9375,-63.9508,150.5540,-133.1694,176.4915,-0.0110,-25.9353
23.954,-0.0056,-26.0962,-63.7424,150.3742,-132.9609,176.4704,-0.0113,-26.0939
24.098,-0.0058,-26.2559,-63.5340,150.1933,-132.7524,176.4491,-0.0116,-26.2535
24.243,-0.0059,-26.4165,-63.3257,150.0112,-132.5439,176.4278,-0.0118,-26.4141
24.389,-0.0061,-26.5782,-63.1173,149.8280,-132.3354,176.4063,-0.0121,-26.5757
24.536,-0.0062,-26.7409,-62.9090,149.6437,-132.1269,176.3846,-0.0124,-26.7384
24.684,-0.0064,-26.9047,-62.7006,149.4582,-131.9184,176.3629,-0.0127,-26.9020
24.832,-0.0065,-27.0694,-62.4923,149.2715,-131.7099,176.3410,-0.0130,-27.0667
24.982,-0.0067,-27.2353,-62.2839,149.0837,-131.5014,176.3189,-0.0134,-27.2324
25.132,-0.0068,-27.4021,-62.0756,148.8946,-131.2929,176.2968,-0.0137,-27.3992
25.284,-0.0070,-27.5700,-61.8672,148.7044,-131.0844,176.2745,-0.0140,-27.5670
25.436,-0.0072,-27.7390,-61.6589,148.5130,-130.8759,176.2520,-0.0144,-27.7359
25.589,-0.0074,-27.9091,-61.4506,148.3204,-130.6673,176.2295,-0.0147,-27.9059
25.743,-0.0075,-28.0802,-61.2423,148.1265,-130.4588,176.2068,-0.0151,-28.0769
25.898,-0.0077,-28.2524,-61.0339,147.9315,-130.2503,176.1839,-0.0154,-28.2490
26.054,-0.0079,-28.4257,-60.8256,147.7352,-130.0418,176.1609,-0.0158,-28.4222
26.211,-0.0081,-28.6001,-60.6173,147.5377,-129.8333,176.1378,-0.0162,-28.5966
26.368,-0.0083,-28.7757,-60.4090,147.3389,-129.6248,176.1146,-0.0166,-28.7720
26.527,-0.0085,-28.9523,-60.2007,147.1389,-129.4163,176.0912,-0.0170,-28.9485
26.687,-0.0087,-29.1301,-59.9924,146.9376,-129.2078,176.0676,-0.0174,-29.1261
26.847,-0.0089,-29.3089,-59.7841,146.7350,-128.9993,176.0439,-0.0178,-29.3049
27.009,-0.0091,-29.4890,-59.5758,146.5311,-128.7908,176.0201,-0.0182,-29.4848
27.172,-0.0093,-29.6702,-59.3676,146.3260,-128.5823,175.9962,-0.0187,-29.6659
27.335,-0.0096,-29.8525,-59.1593,146.1196,-128.3738,175.9720,-0.0191,-29.8481
27.500,-0.0098,-30.0360,-58.9510,145.9118,-128.1653,175.9478,-0.0196,-30.0314
27.665,-0.0100,-30.2207,-58.7427,145.7027,-127.9568,175.9234,-0.0201,-30.2159
27.832,-0.0103,-30.4065,-58.5345,145.4923,-127.7483,175.8988,-0.0206,-30.4016
27.999,-0.0105,-30.5935,-58.3262,145.2806,-127.5398,175.8741,-0.0211,-30.5885
28.168,-0.0108,-30.7818,-58.1180,145.0675,-127.3313,175.8493,-0.0216,-30.7766
28.337,-0.0111,-30.9712,-57.9097,144.8531,-127.1228,175.8243,-0.0221,-30.9659
28.508,-0.0113,-31.1619,-57.7015,144.6373,-126.9143,175.7992,-0.0226,-31.1564
28.679,-0.0116,-31.3537,-57.4933,144.4201,-126.7058,175.7739,-0.0232,-31.3481
28.852,-0.0119,-31.5468,-57.2851,144.2016,-126.4973,175.7484,-0.0237,-31.5410
29.026,-0.0122,-31.7412,-57.0768,143.9816,-126.2888,175.7228,-0.0243,-31.7352
29.200,-0.0125,-31.9368,-56.8686,143.7603,-126.0803,175.6971,-0.0249,-31.9306
29.376,-0.0128,-32.1336,-56.6604,143.5375,-125.8718,175.6711,-0.0255,-32.1272
29.553,-0.0131,-32.3317,-56.4522,143.3134,-125.6633,175.6451,-0.0261,-32.3252
29.731,-0.0134,-32.5311,-56.2441,143.0877,-125.4548,175.6188,-0.0268,-32.5243
29.910,-0.0137,-32.7318,-56.0359,142.8607,-125.2463,175.5925,-0.0274,-32.7248
30.090,-0.0141,-32.9337,-55.8277,142.6322,-125.0378,175.5659,-0.0281,-32.9266
30.271,-0.0144,-33.1370,-55.6195,142.4022,-124.8293,175.5392,-0.0288,-33.1296
30.453,-0.0147,-33.3416,-55.4114,142.1708,-124.6208,175.5123,-0.0295,-33.3340
30.637,-0.0151,-33.5475,-55.2032,141.9379,-124.4123,175.4853,-0.0302,-33.5396
30.821,-0.0155,-33.7547,-54.9951,141.7034,-124.2038,175.4581,-0.0309,-33.7466
31.006,-0.0158,-33.9633,-54.7870,141.4675,-123.9953,175.4308,-0.0317,-33.9549
31.193,-0.0162,-34.1732,-54.5789,141.2301,-123.7868,175.4033,-0.0324,-34.1646
31.381,-0.0166,-34.3845,-54.3708,140.9911,-123.5783,175.3756,-0.0332,-34.3756
