freq_hz,mk2_system_db,mk3_system_db,difference_db,mk2_tweeter_db,mk3_tweeter_db,mk2_mid_db,mk3_mid_db
20.00,,,,,,,
20.59,,,,,,,
21.19,,,,,,,
21.81,,,,,,,
22.45,,,,,,,
23.11,,,,,,,
23.79,,,,,,,
24.48,,,,,,,
25.20,,,,,,,
25.94,,,,,,,
26.70,,,,,,,
27.49,,,,,,,
28.29,,,,,,,
29.12,,,,,,,
29.98,,,,,,,
30.85,,,,,,,
31.76,,,,,,,
32.69,,,,,,,
33.65,,,,,,,
34.64,,,,,,,
35.65,,,,,,,
36.70,,,,,,,
37.77,,,,,,,
38.88,,,,,,,
40.02,,,,,,,
41.19,,,,,,,
42.40,,,,,,,
43.65,,,,,,,
44.93,,,,,,,
46.24,,,,,,,
47.60,,,,,,,
48.99,,,,,,,
50.43,,,,,,,
51.91,,,,,,,
53.43,,,,,,,
55.00,,,,,,,
56.61,,,,,,,
58.27,,,,,,,
59.98,,,,,,,
61.74,,,,,,,
63.55,,,,,,,
65.41,,,,,,,
67.33,,,,,,,
69.31,,,,,,,
71.34,,,,,,,
73.43,,,,,,,
75.59,,,,,,,
77.80,,,,,,,
80.08,,,,,,,
82.43,,,,,,,
84.85,,,,,,,
87.34,,,,,,,
89.90,,,,,,,
92.53,,,,,,,
95.25,,,,,,,
98.04,,,,,,,
100.92,,,,,,,
103.88,,95.9583,,,-19.9798,78.1239,78.1236
106.92,,95.7843,,,-18.3037,79.9862,79.9859
110.06,,95.6055,,,-16.8154,80.3814,80.3811
113.28,,95.4110,,,-15.3885,80.2867,80.2863
116.61,,95.2207,,,-14.0709,81.5120,81.5115
120.03,,95.0456,,,-12.7905,83.1645,83.1640
123.54,,94.8310,,,-11.5148,84.4124,84.4118
127.17,,94.6051,,,-10.2414,85.5010,85.5004
130.90,,94.4025,,,-8.9325,86.3843,86.3836
134.74,,94.2174,,,-7.6113,87.1741,87.1733
138.69,,94.0270,,,-6.1797,87.8235,87.8226
142.75,,93.8425,,,-4.7065,88.4006,88.3997
146.94,,93.6608,,,-3.1988,88.8982,88.8970
151.25,,93.4901,,,-1.6779,89.3455,89.3443
155.68,,93.3502,,,-0.0601,89.7872,89.7858
160.25,,93.2402,,,1.5971,90.2090,90.2075
164.95,,93.1203,,,3.2915,90.6253,90.6235
169.79,,93.0274,,,5.0011,91.0227,91.0207
174.76,,93.0493,,,6.6405,91.4187,91.4165
179.89,,93.1314,,,8.2473,91.7992,91.7967
185.16,,93.2929,,,9.6867,92.2306,92.2278
190.59,,93.5071,,,11.0464,92.6726,92.6694
196.18,,93.6344,,,12.4680,92.9625,92.9590
201.94,,93.7138,,,13.9189,93.1667,93.1627
207.86,,93.7007,,,15.4673,93.2459,93.2414
213.95,,93.6337,,,17.0643,93.2518,93.2469
220.23,93.6737,93.6685,0.0052,1.6257,18.7048,93.3555,93.3499
226.69,93.7608,93.7549,0.0059,3.2807,20.3671,93.5020,93.4957
233.33,93.9028,93.8961,0.0067,4.8330,21.9309,93.6986,93.6916
240.18,94.0741,94.0665,0.0076,6.3281,23.4400,93.9157,93.9078
247.22,94.1329,94.1243,0.0086,7.6997,24.7852,94.0096,94.0007
254.47,94.1243,94.1146,0.0097,9.0000,26.0365,94.0280,94.0181
261.93,94.1891,94.1782,0.0110,10.3853,27.4332,94.1150,94.1038
269.61,94.2942,94.2819,0.0123,11.8192,28.9142,94.2375,94.2250
277.52,94.4230,94.4091,0.0139,13.2036,30.3650,94.3798,94.3657
285.65,94.5633,94.5477,0.0156,14.5569,31.7967,94.5304,94.5146
294.03,94.5415,94.5240,0.0176,15.8400,33.4063,94.5154,94.4977
302.65,94.4147,94.3950,0.0197,17.0778,35.1269,94.3934,94.3736
