freq_Hz,mk2_sum_dB,mk3_sum_dB,mk2_woof_dB,mk3_mid_dB,mk3_tweeter_dB,baffle_step_dB,wg_loading_mk2_dB,wg_loading_mk3_dB
20.00,71.3759,71.3759,71.3645,13.7206,-87.8468,-5.9717,0.1665,0.4263
20.07,71.4272,71.4272,71.4157,13.8427,-87.7247,-5.9714,0.1667,0.4268
20.14,71.4784,71.4784,71.4669,13.9647,-87.6025,-5.9710,0.1669,0.4272
20.21,71.5296,71.5296,71.5179,14.0867,-87.4803,-5.9707,0.1671,0.4277
20.28,71.5806,71.5806,71.5689,14.2087,-87.3582,-5.9703,0.1673,0.4281
20.35,71.6316,71.6316,71.6198,14.3308,-87.2360,-5.9700,0.1674,0.4286
20.42,71.6825,71.6825,71.6706,14.4528,-87.1138,-5.9696,0.1676,0.4290
20.50,71.7333,71.7333,71.7213,14.5748,-86.9917,-5.9693,0.1678,0.4295
20.57,71.7840,71.7840,71.7719,14.6968,-86.8695,-5.9689,0.1680,0.4299
20.64,71.8347,71.8347,71.8224,14.8189,-86.7473,-5.9686,0.1682,0.4304
20.71,71.8852,71.8852,71.8729,14.9409,-86.6251,-5.9682,0.1683,0.4308
20.79,71.9357,71.9357,71.9232,15.0630,-86.5030,-5.9678,0.1685,0.4313
20.86,71.9861,71.9861,71.9735,15.1850,-86.3808,-5.9675,0.1687,0.4317
20.93,72.0364,72.0364,72.0237,15.3070,-86.2586,-5.9671,0.1689,0.4322
21.01,72.0866,72.0866,72.0738,15.4291,-86.1365,-5.9667,0.1690,0.4327
21.08,72.1367,72.1367,72.1238,15.5511,-86.0143,-5.9663,0.1692,0.4331
21.15,72.1867,72.1867,72.1737,15.6732,-85.8921,-5.9660,0.1694,0.4336
21.23,72.2366,72.2366,72.2235,15.7952,-85.7699,-5.9656,0.1696,0.4340
21.30,72.2865,72.2865,72.2733,15.9173,-85.6478,-5.9652,0.1698,0.4345
21.38,72.3362,72.3362,72.3229,16.0393,-85.5256,-5.9648,0.1700,0.4349
21.45,72.3859,72.3859,72.3724,16.1614,-85.4034,-5.9644,0.1701,0.4354
