freq_Hz,mk2_on_axis,mk2_LW,mk2_ER,mk2_SP,mk2_DI,mk2_PIR,mk3_on_axis,mk3_LW,mk3_ER,mk3_SP,mk3_DI,mk3_PIR
200.000,0.0000,-0.0096,-0.0602,-0.0481,0.0481,-0.0240,0.0000,-0.0096,-0.0602,-0.0481,0.0481,-0.0240
201.854,0.0000,-0.0096,-0.0608,-0.0486,0.0486,-0.0242,0.0000,-0.0096,-0.0607,-0.0485,0.0485,-0.0242
203.726,0.0000,-0.0097,-0.0614,-0.0490,0.0490,-0.0244,0.0000,-0.0097,-0.0613,-0.0490,0.0490,-0.0244
205.615,0.0000,-0.0098,-0.0620,-0.0495,0.0495,-0.0247,0.0000,-0.0098,-0.0619,-0.0495,0.0495,-0.0247
207.521,0.0000,-0.0099,-0.0626,-0.0500,0.0500,-0.0249,0.0000,-0.0099,-0.0625,-0.0500,0.0500,-0.0249
209.445,0.0000,-0.0100,-0.0632,-0.0505,0.0505,-0.0252,0.0000,-0.0100,-0.0632,-0.0505,0.0505,-0.0252
211.387,0.0000,-0.0101,-0.0638,-0.0510,0.0510,-0.0254,0.0000,-0.0101,-0.0638,-0.0510,0.0510,-0.0254
213.347,0.0000,-0.0102,-0.0645,-0.0515,0.0515,-0.0257,0.0000,-0.0102,-0.0645,-0.0515,0.0515,-0.0257
215.325,0.0000,-0.0103,-0.0652,-0.0521,0.0521,-0.0260,0.0000,-0.0103,-0.0651,-0.0520,0.0520,-0.0259
217.321,0.0000,-0.0105,-0.0658,-0.0526,0.0526,-0.0262,0.0000,-0.0104,-0.0658,-0.0526,0.0526,-0.0262
219.336,0.0000,-0.0106,-0.0665,-0.0532,0.0532,-0.0265,0.0000,-0.0106,-0.0665,-0.0531,0.0531,-0.0265
221.370,0.0000,-0.0107,-0.0673,-0.0537,0.0537,-0.0268,0.0000,-0.0107,-0.0672,-0.0537,0.0537,-0.0268
223.422,0.0000,-0.0108,-0.0680,-0.0543,0.0543,-0.0271,0.0000,-0.0108,-0.0680,-0.0543,0.0543,-0.0271
225.494,0.0000,-0.0109,-0.0687,-0.0549,0.0549,-0.0274,0.0000,-0.0109,-0.0687,-0.0549,0.0549,-0.0274
227.584,0.0000,-0.0110,-0.0695,-0.0555,0.0555,-0.0277,0.0000,-0.0110,-0.0695,-0.0555,0.0555,-0.0277
229.694,0.0000,-0.0112,-0.0703,-0.0562,0.0562,-0.0280,0.0000,-0.0112,-0.0702,-0.0561,0.0561,-0.0280
231.824,0.0000,-0.0113,-0.0711,-0.0568,0.0568,-0.0283,0.0000,-0.0113,-0.0710,-0.0568,0.0568,-0.0283
233.973,0.0000,-0.0114,-0.0719,-0.0574,0.0574,-0.0286,0.0000,-0.0114,-0.0719,-0.0574,0.0574,-0.0286
236.143,0.0000,-0.0115,-0.0727,-0.0581,0.0581,-0.0290,0.0000,-0.0115,-0.0727,-0.0581,0.0581,-0.0289
238.332,0.0000,-0.0117,-0.0736,-0.0588,0.0588,-0.0293,0.0000,-0.0117,-0.0735,-0.0588,0.0588,-0.0293
240.542,0.0000,-0.0118,-0.0745,-0.0595,0.0595,-0.0296,0.0000,-0.0118,-0.0744,-0.0595,0.0595,-0.0296
242.772,0.0000,-0.0120,-0.0754,-0.0602,0.0602,-0.0300,0.0000,-0.0120,-0.0753,-0.0602,0.0602,-0.0300
245.023,0.0000,-0.0121,-0.0763,-0.0609,0.0609,-0.0304,0.0000,-0.0121,-0.0762,-0.0609,0.0609,-0.0303
247.294,0.0000,-0.0123,-0.0772,-0.0617,0.0617,-0.0307,0.0000,-0.0122,-0.0772,-0.0616,0.0616,-0.0307
249.587,0.0000,-0.0124,-0.0782,-0.0625,0.0625,-0.0311,0.0000,-0.0124,-0.0781,-0.0624,0.0624,-0.0311
251.901,0.0000,-0.0126,-0.0792,-0.0632,0.0632,-0.0315,0.0000,-0.0126,-0.0791,-0.0632,0.0632,-0.0315
254.237,0.0000,-0.0127,-0.0802,-0.0641,0.0641,-0.0319,0.0000,-0.0127,-0.0801,-0.0640,0.0640,-0.0319
256.594,0.0000,-0.0129,-0.0812,-0.0649,0.0649,-0.0323,0.0000,-0.0129,-0.0811,-0.0648,0.0648,-0.0323
258.973,0.0000,-0.0131,-0.0823,-0.0657,0.0657,-0.0327,0.0000,-0.0130,-0.0822,-0.0657,0.0657,-0.0327
261.374,0.0000,-0.0132,-0.0833,-0.0666,0.0666,-0.0332,0.0000,-0.0132,-0.0833,-0.0665,0.0665,-0.0331
263.797,0.0000,-0.0134,-0.0844,-0.0675,0.0675,-0.0336,0.0000,-0.0134,-0.0844,-0.0674,0.0674,-0.0336
266.243,0.0000,-0.0136,-0.0856,-0.0684,0.0684,-0.0340,0.0000,-0.0136,-0.0855,-0.0683,0.0683,-0.0340
268.712,0.0000,-0.0138,-0.0867,-0.0693,0.0693,-0.0345,0.0000,-0.0137,-0.0866,-0.0692,0.0692,-0.0345
