freq_hz,woofer_raw_db,woofer_sealed_db,woofer_pair_baffle_db,woofer_filtered_db,mid_raw_db,mid_baffle_db,mid_filtered_db,tweeter_raw_db,tweeter_filtered_db,tweeter_final_db,system_sum_db,coherent_sum_db
20.00,71.1100,78.5118,87.5227,87.5199,,,,,,,,
20.59,72.7122,78.9294,87.9397,87.9366,,,,,,,,
21.19,74.3143,79.3411,88.3507,88.3473,,,,,,,,
21.81,75.7882,79.7464,88.7554,88.7515,,,,,,,,
22.45,77.2600,80.1449,89.1532,89.1489,,,,,,,,
23.11,77.7277,80.5358,89.5434,89.5385,,,,,,,,
23.79,78.1816,80.9192,89.9260,89.9205,,,,,,,,
24.48,77.9032,81.2940,90.3000,90.2938,,,,,,,,
25.20,77.6109,81.6604,90.6655,90.6586,,,,,,,,
25.94,77.8393,82.0183,91.0225,91.0147,,,,,,,,
26.70,78.0879,82.3671,91.3703,91.3616,,,,,,,,
27.49,78.5904,82.7066,91.7088,91.6990,,,,,,,,
28.29,79.1058,83.0364,92.0375,92.0265,,,,,,,,
29.12,79.6121,83.3561,92.3560,92.3437,,,,,,,,
29.98,80.1180,83.6654,92.6641,92.6503,,,,,,,,
30.85,80.7159,83.9643,92.9617,92.9462,,,,,,,,
31.76,81.3199,84.2525,93.2485,93.2311,,,,,,,,
32.69,81.8299,84.5296,93.5242,93.5046,,,,,,,,
33.65,82.3333,84.7957,93.7888,93.7668,,,,,,,,
34.64,82.9779,85.0511,94.0426,94.0179,,,,,,,,
35.65,83.6337,85.2957,94.2854,94.2577,,,,,,,,
36.70,84.2833,85.5294,94.5172,94.4862,,,,,,,,
37.77,84.9324,85.7523,94.7383,94.7034,,,,,,,,
38.88,85.4017,85.9640,94.9479,94.9087,,,,,,,,
40.02,85.8535,86.1650,95.1468,95.1029,,,,,,,,
41.19,86.1545,86.3551,95.3345,95.2852,,,,,,,,
42.40,86.4382,86.5349,95.5119,95.4566,,,,,,,,
43.65,86.7222,86.7049,95.6794,95.6173,,,,,,,,
44.93,87.0063,86.8655,95.8373,95.7677,,,,,,,,
46.24,86.8071,87.0128,95.9816,95.9035,,,,,,,,
47.60,86.5428,87.1498,96.1155,96.0279,,,,,,,,
48.99,86.1225,87.2754,96.2380,96.1397,,,,,,,,
50.43,85.6801,87.3910,96.3502,96.2399,,,,,,,,
51.91,85.6674,87.5031,96.4586,96.3349,,,,,,,,
53.43,85.7223,87.6081,96.5598,96.4211,,,,,,,,
55.00,86.0208,87.7099,96.6576,96.5020,,,,,,,,
56.61,86.3590,87.8064,96.7497,96.5753,,,,,,,,
58.27,86.7269,87.8980,96.8369,96.6413,,,,,,,,
59.98,87.1002,87.9851,96.9192,96.6999,,,,,,,,
61.74,87.3566,88.0648,96.9939,96.7481,,,,,,,,
63.55,87.5907,88.1397,97.0634,96.7879,,,,,,,,
65.41,87.7873,88.2094,97.1274,96.8188,,,,,,,,
67.33,87.9764,88.2752,97.1873,96.8416,,,,,,,,
69.31,88.1985,88.3394,97.2451,96.8580,,,,,,,,
71.34,88.4278,88.4016,97.3006,96.8672,,,,,,,,
73.43,88.6324,88.4608,97.3528,96.8677,,,,,,,,
75.59,88.8314,88.5183,97.4029,96.8602,,,,,,,,
77.80,88.9423,88.5691,97.4458,96.8389,,,,,,,,
80.08,89.0320,88.6168,97.4852,96.8067,,,,,,,,
82.43,89.1573,88.6661,97.5257,96.7676,,,,,,,,
84.85,89.2915,88.7158,97.5661,96.7195,,,,,,,,
87.34,89.3200,88.7549,97.5955,96.6505,,,,,,,,
89.90,89.3200,88.7894,97.6196,96.5656,,,,,,,,
92.53,89.3667,88.8278,97.6471,96.4723,,,,,,,,
95.25,89.4265,88.8675,97.6753,96.3669,,,,,,,,
98.04,89.3937,88.8931,97.6887,96.2327,,,,,,,,
100.92,89.3340,88.9116,97.6945,96.0757,,,,,,,,
103.88,89.2095,88.9147,97.6842,95.8862,86.9192,92.6886,78.1236,57.1458,-19.0760,-19.9798,95.9583,96.9431
106.92,89.0653,88.9080,97.6632,95.6685,87.9884,93.7436,79.9859,57.8321,-17.3998,-18.3037,95.7843,96.9905
110.06,89.1392,88.9432,97.6835,95.4730,87.6101,93.3504,80.3811,58.3312,-15.9115,-16.8154,95.6055,96.8809
113.28,89.2837,88.9974,97.7219,95.2755,86.7630,92.4875,80.2863,58.7698,-14.4847,-15.3885,95.4110,96.6988
116.61,89.3200,89.0276,97.7356,95.0317,87.2582,92.9661,81.5115,59.0999,-13.1670,-14.0709,95.2207,96.6936
120.03,89.3200,89.0480,97.7385,94.7544,88.2042,93.8947,83.1640,59.3937,-11.8866,-12.7905,95.0456,96.7847
123.54,89.2132,89.0336,97.7058,94.4176,88.7705,94.4427,84.4118,59.6837,-10.6109,-11.5148,94.8310,96.8029
127.17,89.0688,89.0001,97.6530,94.0356,89.2036,94.8564,85.5004,59.9724,-9.3375,-10.2414,94.6051,96.7974
130.90,89.0300,88.9967,97.6293,93.6567,89.4583,95.0909,86.3836,60.2975,-8.0287,-8.9325,94.4025,96.7808
134.74,89.0300,89.0054,97.6166,93.2618,89.6475,95.2588,87.1733,60.6361,-6.7074,-7.6113,94.2174,96.7611
138.69,89.0300,89.0130,97.6019,92.8371,89.7252,95.3141,87.8226,61.0861,-5.2759,-6.1797,94.0270,96.7075
142.75,89.0300,89.0195,97.5850,92.3820,89.7600,95.3254,88.3997,61.5789,-3.8027,-4.7065,93.8425,96.6378
146.94,89.0300,89.0252,97.5660,91.8961,89.7451,95.2859,88.8970,62.1074,-2.2949,-3.1988,93.6608,96.5461
151.25,89.0300,89.0300,97.5449,91.3791,89.7103,95.2252,89.3443,62.6503,-0.7740,-1.6779,93.4901,96.4419
155.68,89.0300,89.0340,97.5218,90.8311,89.7000,95.1878,89.7858,63.2913,0.8437,-0.0601,93.3502,96.3449
160.25,89.0300,89.0373,97.4967,90.2523,89.7000,95.1595,90.2075,63.9732,2.5010,1.5971,93.2402,96.2507
164.95,88.8357,88.9245,97.3543,89.5276,89.7243,95.1541,90.6235,64.6935,4.1953,3.2915,93.1203,96.1136
169.79,88.5568,88.7479,97.1466,88.7096,89.7591,95.1578,91.0207,65.4305,5.9049,5.0011,93.0274,95.9626
174.76,88.5283,88.7182,97.0844,88.0099,89.8214,95.1876,91.4165,66.0989,7.5443,6.6405,93.0493,95.9001
179.89,88.6129,88.7633,97.0956,87.3571,89.8961,95.2284,91.7967,66.7361,9.1512,8.2473,93.1314,95.8785
185.16,88.6773,88.7986,97.0954,86.6674,90.0487,95.3455,92.2278,67.2075,10.5905,9.6867,93.2929,95.9062
190.59,88.7320,88.8301,97.0900,85.9480,90.2379,95.4977,92.6694,67.6009,11.9503,11.0464,93.5071,95.9644
196.18,88.8035,88.8768,97.0980,85.2189,90.3000,95.5213,92.9590,68.0579,13.3719,12.4680,93.6344,95.9452
201.94,88.8832,88.9329,97.1139,84.4756,90.3000,95.4811,93.1627,68.5458,14.8227,13.9189,93.7138,95.8840
207.86,88.9662,88.9949,97.1341,83.7158,90.1975,95.3368,93.2414,69.1331,16.3712,15.4673,93.7007,95.7452
213.95,89.0509,89.0614,97.1572,82.9394,90.0431,95.1389,93.2469,69.7707,17.9682,17.0643,93.6337,95.5616
220.23,89.1584,89.1496,97.2002,82.1647,90.0063,95.0569,93.3499,70.4537,19.6087,18.7048,93.6685,95.4674
226.69,89.2778,89.2513,97.2549,81.3849,90.0312,95.0349,93.4957,71.1605,21.2710,20.3671,93.7549,95.4216
233.33,89.3200,89.2903,97.2453,80.5250,90.1237,95.0787,93.6916,71.7707,22.8348,21.9309,93.8961,95.4179
240.18,89.3200,89.2936,97.1981,79.6130,90.2532,95.1577,93.9078,72.3283,24.3439,23.4400,94.0665,95.4419
247.22,89.2278,89.2153,97.0676,78.6045,90.2746,95.1269,94.0007,72.7239,25.6891,24.7852,94.1243,95.3663
254.47,89.0834,89.0880,96.8863,77.5329,90.2347,95.0330,94.0181,73.0277,26.9404,26.0365,94.1146,95.2342
261.93,88.9735,88.9886,96.7311,76.4763,90.2765,95.0190,94.1038,73.4791,28.3370,27.4332,94.1782,95.1798
269.61,88.8839,88.9055,96.5904,75.4240,90.3661,95.0510,94.2250,74.0169,29.8180,28.9142,94.2819,95.1732
277.52,88.8190,88.8438,96.4693,74.3820,90.4868,95.1123,94.3657,74.5268,31.2689,30.3650,94.4091,95.2001
285.65,88.7692,88.7952,96.3595,73.3430,90.6262,95.1905,94.5146,75.0197,32.7006,31.7967,94.5477,95.2481
294.03,88.7500,88.7746,96.2761,72.3227,90.6097,95.1112,94.4977,75.6928,34.3102,33.4063,94.5240,95.1560
302.65,88.7500,88.7722,96.2091,71.3118,90.4952,94.9321,94.3736,76.4793,36.0308,35.1269,94.3950,94.9725
311.53,88.8344,88.8501,96.2206,70.3733,90.4952,94.8658,94.3553,77.0310,37.5144,36.6105,94.3726,94.8984
320.66,88.9738,88.9816,96.2842,69.4812,90.5699,94.8725,94.4038,77.4295,38.8423,37.9384,94.4177,94.8955
330.07,88.9468,88.9549,96.1880,68.4242,90.6922,94.9252,94.4923,77.9943,40.3341,39.4303,94.5030,94.9284
339.75,88.8073,88.8198,95.9818,67.2527,90.8465,95.0085,94.6059,78.6715,41.9358,41.0320,94.6139,94.9881
349.71,88.7500,88.7631,95.8525,66.1540,90.9100,94.9994,94.6220,79.3632,43.5496,42.6457,94.6282,94.9647
359.96,88.7500,88.7617,95.7771,65.1056,90.9100,94.9254,94.5683,80.0652,45.1710,44.2672,94.5733,94.8814
370.52,88.7500,88.7605,95.7006,64.0527,90.8869,94.8270,94.4856,80.5506,46.5732,45.6693,94.4896,94.7736
381.39,88.7500,88.7594,95.6229,62.9956,90.8471,94.7105,94.3805,80.8792,47.8158,46.9119,94.3838,94.6473
392.57,88.6703,88.6805,95.4662,61.8569,90.8101,94.5958,94.2728,81.3272,49.1751,48.2713,94.2754,94.5207
404.08,88.5309,88.5426,95.2494,60.6558,90.7752,94.4821,94.1619,81.8649,50.6212,49.7173,94.1640,94.3943
415.93,88.3887,88.4015,95.0285,59.4484,90.7376,94.3646,94.0431,82.1981,51.8596,50.9558,94.0448,94.2630
428.13,88.2444,88.2579,94.8042,58.2357,90.6978,94.2440,93.9171,82.3723,52.9360,52.0322,93.9185,94.1272
440.68,88.3373,88.3482,94.8130,57.2544,90.6165,94.0813,93.7446,82.6764,54.1389,53.2351,93.7459,93.9540
453.61,88.6213,88.6276,95.0102,56.4600,90.5019,93.8846,93.5337,83.0848,55.4427,54.5388,93.5351,93.7502
466.91,88.7173,88.7220,95.0219,55.4787,90.4337,93.7336,93.3641,83.5394,56.7889,55.8850,93.3656,93.5881
480.60,88.6576,88.6623,94.8791,54.3417,90.4038,93.6206,93.2277,84.0323,58.1694,57.2656,93.2293,93.4615
494.69,88.1961,88.2042,94.3375,52.8049,90.4275,93.5608,93.1395,84.6297,59.6502,58.7464,93.1415,93.3852
509.20,87.3895,87.4027,93.4524,50.9236,90.4972,93.5469,93.0918,85.3168,61.2161,60.3123,93.0944,93.3549
524.13,86.8228,86.8384,92.8044,49.2785,90.5405,93.5066,93.0120,85.8193,62.5926,61.6887,93.0154,93.2995
539.50,86.4693,86.4853,92.3677,47.8439,90.5605,93.4429,92.9026,86.1579,63.7997,62.8958,92.9070,93.2197
555.32,86.8889,86.9009,92.7000,47.1776,90.5933,93.3924,92.7996,86.5249,65.0295,64.1257,92.8056,93.1576
571.61,88.0189,88.0243,93.7402,47.2187,90.6382,93.3541,92.7017,86.9182,66.2792,65.3753,92.7098,93.1117
588.37,88.8047,88.8063,94.4395,46.9182,90.5911,93.2243,92.5044,87.3345,67.5449,66.6411,92.5157,92.9791
