freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
200.000,0.0095,-0.0001,-0.0507,-0.0264,0.0359,-0.0084
201.854,0.0098,0.0002,-0.0509,-0.0264,0.0362,-0.0082
203.726,0.0102,0.0005,-0.0511,-0.0263,0.0365,-0.0080
205.615,0.0106,0.0008,-0.0513,-0.0263,0.0369,-0.0078
207.521,0.0110,0.0011,-0.0515,-0.0263,0.0373,-0.0076
209.445,0.0114,0.0014,-0.0518,-0.0262,0.0376,-0.0074
211.387,0.0118,0.0017,-0.0520,-0.0262,0.0380,-0.0071
213.347,0.0123,0.0020,-0.0522,-0.0261,0.0384,-0.0069
215.325,0.0127,0.0024,-0.0524,-0.0261,0.0388,-0.0066
217.321,0.0132,0.0028,-0.0526,-0.0260,0.0392,-0.0064
219.336,0.0137,0.0031,-0.0528,-0.0259,0.0396,-0.0061
221.370,0.0142,0.0035,-0.0530,-0.0258,0.0401,-0.0058
223.422,0.0147,0.0040,-0.0532,-0.0257,0.0405,-0.0054
225.494,0.0153,0.0044,-0.0534,-0.0256,0.0409,-0.0051
227.584,0.0159,0.0048,-0.0536,-0.0255,0.0414,-0.0048
229.694,0.0165,0.0053,-0.0537,-0.0254,0.0418,-0.0044
231.824,0.0171,0.0058,-0.0539,-0.0252,0.0423,-0.0040
233.973,0.0177,0.0063,-0.0541,-0.0251,0.0428,-0.0036
236.143,0.0184,0.0069,-0.0543,-0.0249,0.0433,-0.0032
238.332,0.0191,0.0074,-0.0544,-0.0247,0.0438,-0.0028
240.542,0.0198,0.0080,-0.0546,-0.0245,0.0443,-0.0023
242.772,0.0205,0.0086,-0.0547,-0.0243,0.0449,-0.0018
245.023,0.0213,0.0092,-0.0549,-0.0241,0.0454,-0.0013
247.294,0.0221,0.0099,-0.0550,-0.0239,0.0460,-0.0008
249.587,0.0229,0.0105,-0.0552,-0.0236,0.0465,-0.0003
251.901,0.0238,0.0112,-0.0553,-0.0233,0.0471,0.0003
254.237,0.0247,0.0120,-0.0554,-0.0230,0.0477,0.0009
256.594,0.0256,0.0127,-0.0555,-0.0227,0.0483,0.0015
258.973,0.0266,0.0135,-0.0556,-0.0224,0.0489,0.0022
261.374,0.0276,0.0143,-0.0557,-0.0220,0.0496,0.0028
263.797,0.0286,0.0152,-0.0557,-0.0216,0.0502,0.0035
266.243,0.0297,0.0161,-0.0558,-0.0212,0.0509,0.0043
268.712,0.0308,0.0170,-0.0558,-0.0208,0.0516,0.0050
271.203,0.0319,0.0180,-0.0558,-0.0204,0.0523,0.0059
273.717,0.0331,0.0190,-0.0559,-0.0199,0.0530,0.0067
276.255,0.0343,0.0200,-0.0558,-0.0194,0.0537,0.0076
278.817,0.0356,0.0211,-0.0558,-0.0188,0.0545,0.0085
281.402,0.0370,0.0222,-0.0558,-0.0183,0.0552,0.0094
284.011,0.0383,0.0234,-0.0557,-0.0177,0.0560,0.0104
286.644,0.0398,0.0246,-0.0556,-0.0170,0.0568,0.0115
289.301,0.0413,0.0259,-0.0555,-0.0164,0.0576,0.0125
291.984,0.0428,0.0272,-0.0554,-0.0157,0.0585,0.0137
294.691,0.0444,0.0286,-0.0552,-0.0149,0.0593,0.0148
297.423,0.0461,0.0300,-0.0550,-0.0141,0.0602,0.0161
300.181,0.0478,0.0315,-0.0548,-0.0133,0.0611,0.0173
302.964,0.0496,0.0330,-0.0545,-0.0124,0.0620,0.0187
305.773,0.0514,0.0346,-0.0543,-0.0115,0.0629,0.0201
308.608,0.0533,0.0363,-0.0539,-0.0106,0.0639,0.0215
311.469,0.0553,0.0380,-0.0536,-0.0095,0.0648,0.0230
314.357,0.0574,0.0398,-0.0532,-0.0085,0.0658,0.0246
317.271,0.0595,0.0417,-0.0527,-0.0073,0.0668,0.0262
320.213,0.0617,0.0436,-0.0523,-0.0062,0.0679,0.0279
323.182,0.0640,0.0456,-0.0517,-0.0049,0.0689,0.0297
326.178,0.0664,0.0477,-0.0512,-0.0036,0.0700,0.0315
329.202,0.0688,0.0499,-0.0505,-0.0022,0.0711,0.0335
332.255,0.0714,0.0522,-0.0499,-0.0008,0.0722,0.0355
335.335,0.0741,0.0545,-0.0491,0.0007,0.0733,0.0375
338.444,0.0768,0.0570,-0.0483,0.0023,0.0745,0.0397
341.582,0.0797,0.0595,-0.0475,0.0040,0.0757,0.0420
344.749,0.0826,0.0621,-0.0466,0.0057,0.0769,0.0443
347.945,0.0857,0.0649,-0.0456,0.0075,0.0781,0.0468
351.171,0.0888,0.0677,-0.0445,0.0094,0.0794,0.0493
354.427,0.0921,0.0706,-0.0434,0.0115,0.0807,0.0520
357.713,0.0955,0.0737,-0.0422,0.0135,0.0820,0.0547
361.030,0.0991,0.0769,-0.0409,0.0157,0.0833,0.0576
364.377,0.1027,0.0802,-0.0396,0.0180,0.0847,0.0606
367.755,0.1065,0.0836,-0.0381,0.0205,0.0861,0.0637
371.165,0.1104,0.0871,-0.0365,0.0230,0.0875,0.0669
374.606,0.1145,0.0908,-0.0349,0.0256,0.0889,0.0703
378.079,0.1187,0.0947,-0.0332,0.0284,0.0904,0.0738
381.585,0.1231,0.0986,-0.0313,0.0312,0.0919,0.0774
385.123,0.1276,0.1028,-0.0293,0.0342,0.0934,0.0812
388.693,0.1323,0.1070,-0.0273,0.0374,0.0949,0.0851
392.297,0.1372,0.1115,-0.0251,0.0407,0.0965,0.0892
395.934,0.1422,0.1161,-0.0227,0.0441,0.0981,0.0934
399.605,0.1474,0.1209,-0.0203,0.0477,0.0998,0.0978
403.310,0.1528,0.1258,-0.0177,0.0514,0.1014,0.1024
407.050,0.1584,0.1309,-0.0150,0.0553,0.1031,0.1072
410.823,0.1642,0.1363,-0.0121,0.0593,0.1049,0.1121
414.632,0.1702,0.1418,-0.0091,0.0636,0.1066,0.1172
418.477,0.1764,0.1475,-0.0059,0.0680,0.1084,0.1225
422.357,0.1828,0.1535,-0.0025,0.0726,0.1102,0.1281
426.272,0.1895,0.1596,0.0010,0.0774,0.1121,0.1338
430.225,0.1964,0.1660,0.0047,0.0824,0.1140,0.1398
434.214,0.2035,0.1726,0.0086,0.0876,0.1159,0.1459
438.239,0.2109,0.1795,0.0126,0.0930,0.1178,0.1523
