freq_Hz,on_axis,LW,ER,SP,DI,PIR
200.000,0.0000,-0.0096,-0.0602,-0.0481,0.0481,-0.0240
201.854,0.0000,-0.0096,-0.0607,-0.0485,0.0485,-0.0242
203.726,0.0000,-0.0097,-0.0613,-0.0490,0.0490,-0.0244
205.615,0.0000,-0.0098,-0.0619,-0.0495,0.0495,-0.0247
207.521,0.0000,-0.0099,-0.0625,-0.0500,0.0500,-0.0249
209.445,0.0000,-0.0100,-0.0632,-0.0505,0.0505,-0.0252
211.387,0.0000,-0.0101,-0.0638,-0.0510,0.0510,-0.0254
213.347,0.0000,-0.0102,-0.0645,-0.0515,0.0515,-0.0257
215.325,0.0000,-0.0103,-0.0651,-0.0520,0.0520,-0.0259
217.321,0.0000,-0.0104,-0.0658,-0.0526,0.0526,-0.0262
219.336,0.0000,-0.0106,-0.0665,-0.0531,0.0531,-0.0265
221.370,0.0000,-0.0107,-0.0672,-0.0537,0.0537,-0.0268
223.422,0.0000,-0.0108,-0.0680,-0.0543,0.0543,-0.0271
225.494,0.0000,-0.0109,-0.0687,-0.0549,0.0549,-0.0274
227.584,0.0000,-0.0110,-0.0695,-0.0555,0.0555,-0.0277
229.694,0.0000,-0.0112,-0.0702,-0.0561,0.0561,-0.0280
231.824,0.0000,-0.0113,-0.0710,-0.0568,0.0568,-0.0283
233.973,0.0000,-0.0114,-0.0719,-0.0574,0.0574,-0.0286
236.143,0.0000,-0.0115,-0.0727,-0.0581,0.0581,-0.0289
238.332,0.0000,-0.0117,-0.0735,-0.0588,0.0588,-0.0293
240.542,0.0000,-0.0118,-0.0744,-0.0595,0.0595,-0.0296
242.772,0.0000,-0.0120,-0.0753,-0.0602,0.0602,-0.0300
245.023,0.0000,-0.0121,-0.0762,-0.0609,0.0609,-0.0303
247.294,0.0000,-0.0122,-0.0772,-0.0616,0.0616,-0.0307
249.587,0.0000,-0.0124,-0.0781,-0.0624,0.0624,-0.0311
251.901,0.0000,-0.0126,-0.0791,-0.0632,0.0632,-0.0315
254.237,0.0000,-0.0127,-0.0801,-0.0640,0.0640,-0.0319
256.594,0.0000,-0.0129,-0.0811,-0.0648,0.0648,-0.0323
258.973,0.0000,-0.0130,-0.0822,-0.0657,0.0657,-0.0327
261.374,0.0000,-0.0132,-0.0833,-0.0665,0.0665,-0.0331
263.797,0.0000,-0.0134,-0.0844,-0.0674,0.0674,-0.0336
266.243,0.0000,-0.0136,-0.0855,-0.0683,0.0683,-0.0340
268.712,0.0000,-0.0137,-0.0866,-0.0692,0.0692,-0.0345
271.203,0.0000,-0.0139,-0.0878,-0.0701,0.0701,-0.0349
273.717,0.0000,-0.0141,-0.0890,-0.0711,0.0711,-0.0354
276.255,0.0000,-0.0143,-0.0902,-0.0721,0.0721,-0.0359
278.817,0.0000,-0.0145,-0.0915,-0.0731,0.0731,-0.0364
281.402,0.0000,-0.0147,-0.0928,-0.0741,0.0741,-0.0369
284.011,0.0000,-0.0149,-0.0941,-0.0752,0.0752,-0.0374
286.644,0.0000,-0.0151,-0.0954,-0.0762,0.0762,-0.0379
289.301,0.0000,-0.0154,-0.0968,-0.0773,0.0773,-0.0385
291.984,0.0000,-0.0156,-0.0982,-0.0784,0.0784,-0.0390
294.691,0.0000,-0.0158,-0.0997,-0.0796,0.0796,-0.0396
297.423,0.0000,-0.0160,-0.1011,-0.0808,0.0808,-0.0402
300.181,0.0000,-0.0163,-0.1026,-0.0819,0.0819,-0.0408
302.964,0.0000,-0.0165,-0.1041,-0.0832,0.0832,-0.0414
305.773,0.0000,-0.0168,-0.1057,-0.0844,0.0844,-0.0420
308.608,0.0000,-0.0170,-0.1073,-0.0857,0.0857,-0.0426
311.469,0.0000,-0.0173,-0.1089,-0.0870,0.0870,-0.0433
314.357,0.0000,-0.0175,-0.1106,-0.0883,0.0883,-0.0439
317.271,0.0000,-0.0178,-0.1123,-0.0897,0.0897,-0.0446
320.213,0.0000,-0.0181,-0.1140,-0.0910,0.0910,-0.0453
323.182,0.0000,-0.0184,-0.1158,-0.0924,0.0924,-0.0460
326.178,0.0000,-0.0187,-0.1176,-0.0939,0.0939,-0.0467
329.202,0.0000,-0.0189,-0.1195,-0.0954,0.0954,-0.0474
332.255,0.0000,-0.0192,-0.1213,-0.0969,0.0969,-0.0482
335.335,0.0000,-0.0195,-0.1233,-0.0984,0.0984,-0.0489
338.444,0.0000,-0.0199,-0.1252,-0.0999,0.0999,-0.0497
341.582,0.0000,-0.0202,-0.1272,-0.1015,0.1015,-0.0505
344.749,0.0000,-0.0205,-0.1292,-0.1032,0.1032,-0.0513
347.945,0.0000,-0.0208,-0.1313,-0.1048,0.1048,-0.0521
351.171,0.0000,-0.0212,-0.1334,-0.1065,0.1065,-0.0529
354.427,0.0000,-0.0215,-0.1356,-0.1082,0.1082,-0.0538
357.713,0.0000,-0.0218,-0.1378,-0.1100,0.1100,-0.0546
361.030,0.0000,-0.0222,-0.1401,-0.1118,0.1118,-0.0555
364.377,0.0000,-0.0226,-0.1423,-0.1136,0.1136,-0.0564
367.755,0.0000,-0.0229,-0.1447,-0.1154,0.1154,-0.0573
371.165,0.0000,-0.0233,-0.1471,-0.1173,0.1173,-0.0583
374.606,0.0000,-0.0237,-0.1495,-0.1193,0.1193,-0.0592
378.079,0.0000,-0.0241,-0.1520,-0.1212,0.1212,-0.0602
381.585,0.0000,-0.0245,-0.1545,-0.1232,0.1232,-0.0612
385.123,0.0000,-0.0249,-0.1570,-0.1253,0.1253,-0.0622
388.693,0.0000,-0.0253,-0.1597,-0.1274,0.1274,-0.0632
392.297,0.0000,-0.0257,-0.1623,-0.1295,0.1295,-0.0643
395.934,0.0000,-0.0261,-0.1650,-0.1316,0.1316,-0.0653
399.605,0.0000,-0.0266,-0.1678,-0.1338,0.1338,-0.0664
403.310,0.0000,-0.0270,-0.1706,-0.1360,0.1360,-0.0675
407.050,0.0000,-0.0275,-0.1734,-0.1383,0.1383,-0.0686
410.823,0.0000,-0.0279,-0.1764,-0.1406,0.1406,-0.0697
414.632,0.0000,-0.0284,-0.1793,-0.1430,0.1430,-0.0709
418.477,0.0000,-0.0289,-0.1823,-0.1454,0.1454,-0.0721
422.357,0.0000,-0.0294,-0.1854,-0.1478,0.1478,-0.0733
426.272,0.0000,-0.0299,-0.1885,-0.1503,0.1503,-0.0745
430.225,0.0000,-0.0304,-0.1917,-0.1528,0.1528,-0.0757
