freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
20.00,-12.6953,-91.1571,-198.2866,-12.6942
20.07,-12.6227,-91.0350,-198.1649,-12.6217
20.14,-12.5505,-90.9130,-198.0432,-12.5495
20.21,-12.4787,-90.7910,-197.9215,-12.4777
20.28,-12.4072,-90.6690,-197.7998,-12.4061
20.35,-12.3361,-90.5469,-197.6781,-12.3350
20.42,-12.2652,-90.4249,-197.5564,-12.2642
20.50,-12.1948,-90.3029,-197.4346,-12.1937
20.57,-12.1247,-90.1809,-197.3129,-12.1236
20.64,-12.0549,-90.0588,-197.1912,-12.0538
20.71,-11.9855,-89.9368,-197.0695,-11.9844
20.79,-11.9164,-89.8148,-196.9478,-11.9153
20.86,-11.8477,-89.6927,-196.8261,-11.8465
20.93,-11.7793,-89.5707,-196.7043,-11.7781
21.01,-11.7112,-89.4486,-196.5826,-11.7101
21.08,-11.6435,-89.3266,-196.4609,-11.6424
21.15,-11.5762,-89.2045,-196.3392,-11.5751
21.23,-11.5092,-89.0381,-196.2175,-11.5080
21.30,-11.4426,-88.8274,-196.0958,-11.4414
21.38,-11.3763,-88.6163,-195.9740,-11.3751
21.45,-11.3103,-88.4049,-195.8523,-11.3091
21.53,-11.2447,-88.1933,-195.7306,-11.2435
21.60,-11.1795,-87.9813,-195.6089,-11.1782
21.68,-11.1146,-87.7690,-195.4872,-11.1133
21.75,-11.0500,-87.5563,-195.3655,-11.0487
21.83,-10.9858,-87.3434,-195.2438,-10.9845
21.91,-10.9220,-87.1301,-195.1220,-10.9206
21.98,-10.8585,-86.9165,-195.0003,-10.8571
22.06,-10.7953,-86.7026,-194.8786,-10.7939
22.14,-10.7325,-86.4884,-194.7569,-10.7311
22.22,-10.6701,-86.2738,-194.6352,-10.6687
22.29,-10.6080,-86.0589,-194.5135,-10.6065
22.37,-10.5463,-85.8437,-194.3917,-10.5448
22.45,-10.4849,-85.6283,-194.2700,-10.4833
22.53,-10.4238,-85.4233,-194.1483,-10.4223
22.61,-10.3631,-85.2179,-194.0266,-10.3616
22.69,-10.3028,-85.0123,-193.9049,-10.3012
22.77,-10.2428,-84.8064,-193.7832,-10.2412
22.85,-10.1832,-84.6002,-193.6614,-10.1815
22.93,-10.1239,-84.3937,-193.5397,-10.1222
23.01,-10.0649,-84.1869,-193.4180,-10.0632
23.09,-10.0063,-83.9799,-193.2963,-10.0046
23.17,-9.9481,-83.7725,-193.1746,-9.9463
23.25,-9.8902,-83.5648,-193.0529,-9.8884
23.33,-9.8327,-83.3568,-192.9312,-9.8308
23.42,-9.7755,-83.1485,-192.8094,-9.7736
23.50,-9.7186,-82.9399,-192.6877,-9.7168
23.58,-9.6622,-82.7309,-192.5660,-9.6602
23.66,-9.6060,-82.5217,-192.4443,-9.6041
23.75,-9.5502,-82.3122,-192.3226,-9.5482
23.83,-9.4948,-82.1263,-192.2009,-9.4928
23.91,-9.4397,-81.9570,-192.0791,-9.4376
24.00,-9.3849,-81.7876,-191.9574,-9.3829
24.08,-9.3305,-81.6181,-191.8357,-9.3284
24.17,-9.2765,-81.4483,-191.7140,-9.2744
24.25,-9.2228,-81.2784,-191.5923,-9.2206
24.34,-9.1694,-81.1083,-191.4706,-9.1672
24.42,-9.1164,-80.9381,-191.3488,-9.1142
24.51,-9.0637,-80.7677,-191.2271,-9.0615
24.59,-9.0114,-80.5971,-191.1054,-9.0091
24.68,-8.9595,-80.4263,-190.9837,-8.9571
24.77,-8.9078,-80.2554,-190.8620,-8.9055
24.85,-8.8565,-80.0843,-190.7403,-8.8541
24.94,-8.8056,-79.9130,-190.6185,-8.8032
25.03,-8.7550,-79.7416,-190.4968,-8.7525
25.11,-8.7047,-79.5699,-190.3751,-8.7022
25.20,-8.6548,-79.4005,-190.2534,-8.6523
25.29,-8.6052,-79.3078,-190.1317,-8.6027
25.38,-8.5560,-79.2153,-190.0100,-8.5535
25.47,-8.5071,-79.1228,-189.8883,-8.5045
25.56,-8.4585,-79.0304,-189.7665,-8.4560
25.65,-8.4103,-78.9382,-189.6448,-8.4077
25.74,-8.3625,-78.8460,-189.5231,-8.3599
25.83,-8.3149,-78.7539,-189.4014,-8.3123
25.92,-8.2677,-78.6620,-189.2797,-8.2651
26.01,-8.2208,-78.5701,-189.1580,-8.2182
26.10,-8.1743,-78.4784,-189.0362,-8.1717
26.19,-8.1281,-78.3867,-188.9145,-8.1255
26.28,-8.0823,-78.2952,-188.7928,-8.0796
26.38,-8.0367,-78.2038,-188.6711,-8.0340
26.47,-7.9915,-78.1124,-188.5494,-7.9888
26.56,-7.9467,-78.0212,-188.4277,-7.9440
26.66,-7.9021,-77.9301,-188.3059,-7.8994
26.75,-7.8579,-77.8476,-188.1842,-7.8552
26.84,-7.8141,-77.7729,-188.0625,-7.8113
26.94,-7.7705,-77.6984,-187.9408,-7.7678
27.03,-7.7273,-77.6241,-187.8191,-7.7245
27.13,-7.6844,-77.5500,-187.6974,-7.6816
27.22,-7.6419,-77.4760,-187.5756,-7.6391
27.32,-7.5996,-77.4021,-187.4539,-7.5968
27.41,-7.5577,-77.3285,-187.3322,-7.5549
27.51,-7.5161,-77.2550,-187.2105,-7.5133
27.61,-7.4748,-77.1816,-187.0888,-7.4720
27.70,-7.4339,-77.1085,-186.9671,-7.4310
27.80,-7.3933,-77.0355,-186.8453,-7.3904
27.90,-7.3530,-76.9627,-186.7236,-7.3501
28.00,-7.3130,-76.8900,-186.6019,-7.3101
28.09,-7.2733,-76.8175,-186.4802,-7.2704
28.19,-7.2339,-76.7452,-186.3585,-7.2310
28.29,-7.1949,-76.6592,-186.2368,-7.1920
28.39,-7.1562,-76.4665,-186.1151,-7.1532
28.49,-7.1178,-76.2735,-185.9933,-7.1147
