freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
20.00,-14.3905,-5.3905,-5.3905,3.0695,9.0000,-0.0000,9.0000,3.3654,8.7559,8.4600,-14.3909,-101.3478,-198.4850
20.07,-14.3179,-5.3179,-5.3179,3.1056,9.0000,-0.0000,9.0000,3.3645,8.6824,8.4236,-14.3183,-101.2257,-198.3633
20.14,-14.2457,-5.2457,-5.2457,3.1393,9.0000,-0.0000,9.0000,3.3636,8.6093,8.3851,-14.2461,-101.1037,-198.2416
20.21,-14.1738,-5.1738,-5.1738,3.1707,9.0000,-0.0000,9.0000,3.3626,8.5365,8.3445,-14.1742,-100.9816,-198.1199
20.28,-14.1023,-5.1023,-5.1023,3.1996,9.0000,-0.0000,9.0000,3.3617,8.4640,8.3019,-14.1027,-100.8596,-197.9982
20.35,-14.0311,-5.0311,-5.0311,3.2262,9.0000,-0.0000,9.0000,3.3608,8.3919,8.2573,-14.0315,-100.7375,-197.8765
20.42,-13.9602,-4.9602,-4.9602,3.2505,9.0000,-0.0000,9.0000,3.3598,8.3201,8.2107,-13.9606,-100.6154,-197.7547
20.50,-13.8897,-4.8897,-4.8897,3.2724,9.0000,-0.0000,9.0000,3.3589,8.2486,8.1621,-13.8901,-100.4934,-197.6330
20.57,-13.8196,-4.8196,-4.8196,3.2919,9.0000,-0.0000,9.0000,3.3579,8.1775,8.1115,-13.8200,-100.3713,-197.5113
20.64,-13.7498,-4.7498,-4.7498,3.3092,9.0000,-0.0000,9.0000,3.3570,8.1067,8.0589,-13.7502,-100.2492,-197.3896
20.71,-13.6803,-4.6803,-4.6803,3.3241,9.0000,-0.0000,9.0000,3.3560,8.0363,8.0044,-13.6807,-100.1271,-197.2679
20.79,-13.6112,-4.6112,-4.6112,3.3367,9.0000,-0.0000,9.0000,3.3550,7.9662,7.9478,-13.6116,-100.0050,-197.1462
20.86,-13.5424,-4.5424,-4.5424,3.3470,9.0000,-0.0000,9.0000,3.3541,7.8964,7.8894,-13.5428,-99.8830,-197.0244
20.93,-13.4739,-4.4739,-4.4739,3.3550,9.0000,-0.0000,9.0000,3.3531,7.8270,7.8290,-13.4744,-99.7609,-196.9027
21.01,-13.4059,-4.4059,-4.4059,3.3608,9.0000,-0.0000,9.0000,3.3521,7.7579,7.7667,-13.4063,-99.6388,-196.7810
21.08,-13.3381,-4.3381,-4.3381,3.3643,9.0000,-0.0000,9.0000,3.3511,7.6892,7.7024,-13.3385,-99.5167,-196.6593
21.15,-13.2707,-4.2707,-4.2707,3.3655,9.0000,-0.0000,9.0000,3.3501,7.6208,7.6363,-13.2711,-99.3946,-196.5376
21.23,-13.2037,-4.2037,-4.2037,3.3645,9.0000,-0.0000,9.0000,3.3491,7.5528,7.5682,-13.2041,-99.2281,-196.4159
21.30,-13.1370,-4.1370,-4.1370,3.3635,9.0000,-0.0000,9.0000,3.3481,7.4850,7.5005,-13.1374,-99.0173,-196.2942
21.38,-13.0706,-4.0706,-4.0706,3.3625,9.0000,-0.0000,9.0000,3.3471,7.4177,7.4331,-13.0711,-98.8062,-196.1724
21.45,-13.0046,-4.0046,-4.0046,3.3615,9.0000,-0.0000,9.0000,3.3460,7.3506,7.3661,-13.0051,-98.5948,-196.0507
21.53,-12.9390,-3.9390,-3.9390,3.3605,9.0000,-0.0000,9.0000,3.3450,7.2839,7.2994,-12.9394,-98.3831,-195.9290
21.60,-12.8736,-3.8736,-3.8736,3.3594,9.0000,-0.0000,9.0000,3.3439,7.2176,7.2331,-12.8741,-98.1710,-195.8073
21.68,-12.8087,-3.8087,-3.8087,3.3584,9.0000,-0.0000,9.0000,3.3429,7.1516,7.1671,-12.8092,-97.9587,-195.6856
21.75,-12.7441,-3.7441,-3.7441,3.3574,9.0000,-0.0000,9.0000,3.3418,7.0859,7.1014,-12.7446,-97.7460,-195.5639
21.83,-12.6798,-3.6798,-3.6798,3.3563,9.0000,-0.0000,9.0000,3.3408,7.0206,7.0361,-12.6803,-97.5330,-195.4421
21.91,-12.6159,-3.6159,-3.6159,3.3552,9.0000,-0.0000,9.0000,3.3397,6.9556,6.9711,-12.6164,-97.3196,-195.3204
21.98,-12.5523,-3.5523,-3.5523,3.3542,9.0000,-0.0000,9.0000,3.3386,6.8910,6.9065,-12.5529,-97.1060,-195.1987
22.06,-12.4891,-3.4891,-3.4891,3.3531,9.0000,-0.0000,9.0000,3.3376,6.8267,6.8422,-12.4897,-96.8920,-195.0770
22.14,-12.4263,-3.4263,-3.4263,3.3520,9.0000,-0.0000,9.0000,3.3365,6.7627,6.7783,-12.4268,-96.6777,-194.9553
22.22,-12.3638,-3.3638,-3.3638,3.3509,9.0000,-0.0000,9.0000,3.3354,6.6991,6.7147,-12.3643,-96.4631,-194.8336
22.29,-12.3016,-3.3016,-3.3016,3.3498,9.0000,-0.0000,9.0000,3.3343,6.6359,6.6514,-12.3021,-96.2481,-194.7119
22.37,-12.2398,-3.2398,-3.2398,3.3487,9.0000,-0.0000,9.0000,3.3332,6.5729,6.5885,-12.2403,-96.0329,-194.5901
22.45,-12.1783,-3.1783,-3.1783,3.3476,9.0000,-0.0000,9.0000,3.3320,6.5104,6.5259,-12.1789,-95.8174,-194.4684
22.53,-12.1172,-3.1172,-3.1172,3.3464,9.0000,-0.0000,9.0000,3.3309,6.4481,6.4636,-12.1178,-95.6123,-194.3467
22.61,-12.0564,-3.0564,-3.0564,3.3453,9.0000,-0.0000,9.0000,3.3298,6.3862,6.4017,-12.0570,-95.4069,-194.2250
22.69,-11.9960,-2.9960,-2.9960,3.3442,9.0000,-0.0000,9.0000,3.3287,6.3247,6.3402,-11.9966,-95.2013,-194.1033
22.77,-11.9360,-2.9360,-2.9360,3.3430,9.0000,-0.0000,9.0000,3.3275,6.2635,6.2790,-11.9366,-94.9953,-193.9816
22.85,-11.8762,-2.8762,-2.8762,3.3419,9.0000,-0.0000,9.0000,3.3264,6.2026,6.2181,-11.8769,-94.7890,-193.8598
22.93,-11.8169,-2.8169,-2.8169,3.3407,9.0000,-0.0000,9.0000,3.3252,6.1421,6.1576,-11.8175,-94.5825,-193.7381
23.01,-11.7579,-2.7579,-2.7579,3.3395,9.0000,-0.0000,9.0000,3.3240,6.0819,6.0974,-11.7585,-94.3756,-193.6164
23.09,-11.6992,-2.6992,-2.6992,3.3383,9.0000,-0.0000,9.0000,3.3229,6.0221,6.0375,-11.6999,-94.1685,-193.4947
23.17,-11.6409,-2.6409,-2.6409,3.3371,9.0000,-0.0000,9.0000,3.3217,5.9626,5.9780,-11.6415,-93.9610,-193.3730
23.25,-11.5829,-2.5829,-2.5829,3.3359,9.0000,-0.0000,9.0000,3.3205,5.9034,5.9189,-11.5836,-93.7532,-193.2513
23.33,-11.5253,-2.5253,-2.5253,3.3347,9.0000,-0.0000,9.0000,3.3193,5.8446,5.8600,-11.5260,-93.5452,-193.1295
23.42,-11.4680,-2.4680,-2.4680,3.3335,9.0000,-0.0000,9.0000,3.3181,5.7861,5.8015,-11.4687,-93.3368,-193.0078
23.50,-11.4111,-2.4111,-2.4111,3.3323,9.0000,-0.0000,9.0000,3.3169,5.7280,5.7434,-11.4118,-93.1281,-192.8861
23.58,-11.3545,-2.3545,-2.3545,3.3311,9.0000,-0.0000,9.0000,3.3156,5.6702,5.6856,-11.3552,-92.9191,-192.7644
23.66,-11.2983,-2.2983,-2.2983,3.3298,9.0000,-0.0000,9.0000,3.3144,5.6127,5.6281,-11.2990,-92.7098,-192.6427
23.75,-11.2424,-2.2424,-2.2424,3.3286,9.0000,-0.0000,9.0000,3.3132,5.5556,5.5710,-11.2432,-92.5002,-192.5210
23.83,-11.1869,-2.1869,-2.1869,3.3273,9.0000,-0.0000,9.0000,3.3119,5.4988,5.5142,-11.1876,-92.3142,-192.3992
23.91,-11.1317,-2.1317,-2.1317,3.3261,9.0000,-0.0000,9.0000,3.3107,5.4424,5.4577,-11.1325,-92.1449,-192.2775
24.00,-11.0769,-2.0769,-2.0769,3.3248,9.0000,-0.0000,9.0000,3.3094,5.3863,5.4016,-11.0776,-91.9754,-192.1558
24.08,-11.0224,-2.0224,-2.0224,3.3235,9.0000,-0.0000,9.0000,3.3082,5.3305,5.3459,-11.0232,-91.8058,-192.0341
24.17,-10.9682,-1.9682,-1.9682,3.3222,9.0000,-0.0000,9.0000,3.3069,5.2751,5.2904,-10.9690,-91.6360,-191.9124
24.25,-10.9144,-1.9144,-1.9144,3.3209,9.0000,-0.0000,9.0000,3.3056,5.2200,5.2353,-10.9152,-91.4660,-191.7907
24.34,-10.8610,-1.8610,-1.8610,3.3196,9.0000,-0.0000,9.0000,3.3043,5.1653,5.1806,-10.8618,-91.2958,-191.6690
24.42,-10.8079,-1.8079,-1.8079,3.3183,9.0000,-0.0000,9.0000,3.3030,5.1109,5.1261,-10.8087,-91.1255,-191.5472
24.51,-10.7551,-1.7551,-1.7551,3.3169,9.0000,-0.0000,9.0000,3.3017,5.0568,5.0720,-10.7559,-90.9550,-191.4255
24.59,-10.7027,-1.7027,-1.7027,3.3156,9.0000,-0.0000,9.0000,3.3004,5.0031,5.0183,-10.7035,-90.7843,-191.3038
24.68,-10.6506,-1.6506,-1.6506,3.3143,9.0000,-0.0000,9.0000,3.2991,4.9497,4.9649,-10.6515,-90.6135,-191.1821
24.77,-10.5989,-1.5989,-1.5989,3.3129,9.0000,-0.0000,9.0000,3.2977,4.8966,4.9118,-10.5998,-90.4424,-191.0604
24.85,-10.5475,-1.5475,-1.5475,3.3115,9.0000,-0.0000,9.0000,3.2964,4.8439,4.8590,-10.5484,-90.2712,-190.9387
24.94,-10.4964,-1.4964,-1.4964,3.3102,9.0000,-0.0000,9.0000,3.2951,4.7915,4.8066,-10.4973,-90.0999,-190.8169
25.03,-10.4457,-1.4457,-1.4457,3.3088,9.0000,-0.0000,9.0000,3.2937,4.7394,4.7545,-10.4466,-89.9283,-190.6952
25.11,-10.3954,-1.3954,-1.3954,3.3074,9.0000,-0.0000,9.0000,3.2923,4.6877,4.7028,-10.3963,-89.7566,-190.5735
25.20,-10.3453,-1.3453,-1.3453,3.3060,9.0000,-0.0000,9.0000,3.2910,4.6363,4.6513,-10.3463,-89.5871,-190.4518
25.29,-10.2956,-1.2956,-1.2956,3.3046,9.0000,-0.0000,9.0000,3.2896,4.5852,4.6003,-10.2966,-89.4943,-190.3301
