freq_Hz,sum_dB,woofer_dB,mid_dB,tweeter_dB,baffle_step_dB,wg_loading_dB
20.00,74.6824,74.6746,13.7206,-104.4089,-5.9717,0.0000
20.07,74.7310,74.7231,13.8427,-104.2872,-5.9714,0.0000
20.14,74.7794,74.7715,13.9647,-104.1655,-5.9710,0.0000
20.21,74.8277,74.8197,14.0867,-104.0438,-5.9707,0.0000
20.28,74.8759,74.8678,14.2087,-103.9221,-5.9703,0.0000
20.35,74.9239,74.9158,14.3308,-103.8004,-5.9700,0.0000
20.42,74.9718,74.9636,14.4528,-103.6786,-5.9696,0.0000
20.50,75.0195,75.0112,14.5748,-103.5569,-5.9693,0.0000
20.57,75.0671,75.0588,14.6968,-103.4352,-5.9689,0.0000
20.64,75.1145,75.1061,14.8189,-103.3135,-5.9686,0.0000
20.71,75.1618,75.1534,14.9409,-103.1918,-5.9682,0.0000
20.79,75.2090,75.2004,15.0630,-103.0701,-5.9678,0.0000
20.86,75.2560,75.2474,15.1850,-102.9484,-5.9675,0.0000
20.93,75.3028,75.2941,15.3070,-102.8266,-5.9671,0.0000
21.01,75.3495,75.3407,15.4291,-102.7049,-5.9667,0.0000
21.08,75.3961,75.3872,15.5511,-102.5832,-5.9663,0.0000
21.15,75.4424,75.4335,15.6732,-102.4615,-5.9660,0.0000
21.23,75.4887,75.4797,15.7952,-102.3398,-5.9656,0.0000
21.30,75.5348,75.5257,15.9173,-102.2181,-5.9652,0.0000
21.38,75.5807,75.5715,16.0393,-102.0963,-5.9648,0.0000
21.45,75.6264,75.6172,16.1614,-101.9746,-5.9644,0.0000
21.53,75.6720,75.6627,16.2834,-101.8529,-5.9640,0.0000
21.60,75.7175,75.7081,16.4055,-101.7312,-5.9636,0.0000
21.68,75.7628,75.7533,16.5275,-101.6095,-5.9632,0.0000
21.75,75.8079,75.7983,16.6496,-101.4878,-5.9628,0.0000
21.83,75.8528,75.8432,16.7717,-101.3660,-5.9624,0.0000
21.91,75.8976,75.8879,16.8937,-101.2443,-5.9620,0.0000
21.98,75.9422,75.9324,17.0158,-101.1226,-5.9616,0.0000
22.06,75.9867,75.9768,17.1379,-101.0009,-5.9612,0.0000
22.14,76.0310,76.0209,17.2599,-100.8792,-5.9608,0.0000
22.22,76.0751,76.0650,17.3820,-100.7575,-5.9604,0.0000
22.29,76.1190,76.1088,17.5041,-100.6358,-5.9600,0.0000
22.37,76.1628,76.1525,17.6262,-100.5140,-5.9596,0.0000
22.45,76.2064,76.1960,17.7483,-100.3923,-5.9591,0.0000
22.53,76.2498,76.2393,17.8703,-100.2706,-5.9587,0.0000
22.61,76.2931,76.2825,17.9924,-100.1489,-5.9583,0.0000
22.69,76.3361,76.3255,18.1145,-100.0272,-5.9578,0.0000
22.77,76.3791,76.3683,18.2366,-99.9055,-5.9574,0.0000
22.85,76.4218,76.4109,18.3587,-99.7837,-5.9570,0.0000
22.93,76.4643,76.4534,18.4808,-99.6620,-5.9565,0.0000
23.01,76.5067,76.4956,18.6029,-99.5403,-5.9561,0.0000
23.09,76.5489,76.5377,18.7250,-99.4186,-5.9556,0.0000
23.17,76.5909,76.5796,18.8471,-99.2969,-5.9552,0.0000
23.25,76.6327,76.6213,18.9692,-99.1752,-5.9547,0.0000
23.33,76.6743,76.6629,19.0913,-99.0534,-5.9543,0.0000
23.42,76.7158,76.7042,19.2134,-98.9317,-5.9538,0.0000
23.50,76.7571,76.7454,19.3355,-98.8100,-5.9533,0.0000
23.58,76.7982,76.7864,19.4576,-98.6883,-5.9529,0.0000
23.66,76.8391,76.8271,19.5797,-98.5666,-5.9524,0.0000
23.75,76.8798,76.8678,19.7018,-98.4449,-5.9519,0.0000
23.83,76.9203,76.9082,19.8239,-98.3231,-5.9515,0.0000
23.91,76.9606,76.9484,19.9461,-98.2014,-5.9510,0.0000
24.00,77.0008,76.9884,20.0682,-98.0797,-5.9505,0.0000
24.08,77.0407,77.0283,20.1903,-97.9580,-5.9500,0.0000
24.17,77.0805,77.0679,20.3124,-97.8363,-5.9495,0.0000
24.25,77.1201,77.1074,20.4345,-97.7146,-5.9490,0.0000
24.34,77.1595,77.1466,20.5567,-97.5929,-5.9485,0.0000
24.42,77.1987,77.1857,20.6788,-97.4711,-5.9480,0.0000
24.51,77.2376,77.2245,20.8009,-97.3494,-5.9475,0.0000
24.59,77.2764,77.2632,20.9231,-97.2277,-5.9470,0.0000
24.68,77.3150,77.3017,21.0452,-97.1060,-5.9465,0.0000
24.77,77.3534,77.3400,21.1674,-96.9843,-5.9460,0.0000
24.85,77.3917,77.3780,21.2895,-96.8626,-5.9455,0.0000
24.94,77.4297,77.4159,21.4116,-96.7408,-5.9450,0.0000
25.03,77.4675,77.4536,21.5338,-96.6191,-5.9444,0.0000
25.11,77.5051,77.4911,21.6559,-96.4974,-5.9439,0.0000
25.20,77.5425,77.5284,21.7781,-96.3757,-5.9434,0.0000
25.29,77.5797,77.5654,21.9002,-96.2540,-5.9428,0.0000
25.38,77.6167,77.6023,22.0224,-96.1323,-5.9423,0.0000
25.47,77.6535,77.6390,22.1446,-96.0105,-5.9418,0.0000
