freq_Hz,harman_inroom_dB,bbc_inroom_dB,harman_target_dB,bbc_target_dB,harman_postdsp_dB,bbc_postdsp_dB
20.00,-5.2891,-6.2651,3.3654,1.9457,3.0689,1.6516
20.07,-5.2163,-6.1924,3.3645,1.9454,3.1051,1.6881
20.14,-5.1440,-6.1200,3.3636,1.9450,3.1389,1.7221
20.21,-5.0720,-6.0480,3.3626,1.9446,3.1703,1.7539
20.28,-5.0003,-5.9763,3.3617,1.9442,3.1993,1.7832
20.35,-4.9289,-5.9050,3.3608,1.9439,3.2259,1.8102
20.42,-4.8579,-5.8340,3.3598,1.9435,3.2502,1.8349
20.50,-4.7873,-5.7634,3.3589,1.9431,3.2721,1.8572
20.57,-4.7170,-5.6930,3.3579,1.9427,3.2917,1.8772
20.64,-4.6470,-5.6231,3.3570,1.9423,3.3090,1.8949
20.71,-4.5774,-5.5535,3.3560,1.9419,3.3239,1.9103
20.79,-4.5081,-5.4842,3.3550,1.9415,3.3366,1.9235
20.86,-4.4392,-5.4153,3.3541,1.9411,3.3469,1.9343
20.93,-4.3706,-5.3467,3.3531,1.9407,3.3550,1.9429
21.01,-4.3024,-5.2784,3.3521,1.9403,3.3607,1.9492
21.08,-4.2345,-5.2105,3.3511,1.9399,3.3643,1.9532
21.15,-4.1669,-5.1430,3.3501,1.9395,3.3655,1.9551
21.23,-4.0997,-5.0758,3.3491,1.9391,3.3645,1.9547
21.30,-4.0329,-5.0089,3.3481,1.9387,3.3635,1.9543
21.38,-3.9664,-4.9424,3.3471,1.9383,3.3625,1.9539
21.45,-3.9002,-4.8763,3.3460,1.9378,3.3615,1.9534
21.53,-3.8344,-4.8104,3.3450,1.9374,3.3604,1.9530
21.60,-3.7689,-4.7450,3.3439,1.9370,3.3594,1.9526
21.68,-3.7038,-4.6799,3.3429,1.9366,3.3584,1.9522
21.75,-3.6390,-4.6151,3.3418,1.9361,3.3573,1.9518
21.83,-3.5746,-4.5507,3.3408,1.9357,3.3563,1.9513
21.91,-3.5105,-4.4866,3.3397,1.9353,3.3552,1.9509
21.98,-3.4468,-4.4229,3.3386,1.9348,3.3541,1.9505
22.06,-3.3834,-4.3595,3.3376,1.9344,3.3530,1.9500
22.14,-3.3204,-4.2964,3.3365,1.9339,3.3519,1.9496
22.22,-3.2577,-4.2338,3.3354,1.9335,3.3509,1.9491
22.29,-3.1954,-4.1714,3.3343,1.9330,3.3498,1.9487
22.37,-3.1334,-4.1095,3.3332,1.9326,3.3486,1.9482
22.45,-3.0718,-4.0478,3.3320,1.9321,3.3475,1.9478
22.53,-3.0105,-3.9865,3.3309,1.9316,3.3464,1.9473
22.61,-2.9495,-3.9256,3.3298,1.9312,3.3453,1.9468
22.69,-2.8890,-3.8650,3.3287,1.9307,3.3441,1.9464
22.77,-2.8287,-3.8048,3.3275,1.9302,3.3430,1.9459
22.85,-2.7688,-3.7449,3.3264,1.9298,3.3418,1.9454
22.93,-2.7093,-3.6853,3.3252,1.9293,3.3406,1.9449
23.01,-2.6501,-3.6261,3.3240,1.9288,3.3395,1.9444
23.09,-2.5912,-3.5673,3.3229,1.9283,3.3383,1.9440
23.17,-2.5327,-3.5088,3.3217,1.9279,3.3371,1.9435
23.25,-2.4746,-3.4506,3.3205,1.9274,3.3359,1.9430
23.33,-2.4168,-3.3928,3.3193,1.9269,3.3347,1.9425
23.42,-2.3593,-3.3354,3.3181,1.9264,3.3335,1.9420
