crossover_Hz,freq_Hz,theta_deg,spl_norm_dB
1100,800.00,-90.0,-3.3764
1100,800.00,-85.0,-3.3544
1100,800.00,-80.0,-3.2888
1100,800.00,-75.0,-3.1797
1100,800.00,-70.0,-3.0283
1100,800.00,-65.0,-2.8365
1100,800.00,-60.0,-2.6081
1100,800.00,-55.0,-2.3488
1100,800.00,-50.0,-2.0658
1100,800.00,-45.0,-1.7684
1100,800.00,-40.0,-1.4664
1100,800.00,-35.0,-1.1704
1100,800.00,-30.0,-0.8907
1100,800.00,-25.0,-0.6368
1100,800.00,-20.0,-0.4171
1100,800.00,-15.0,-0.2388
1100,800.00,-10.0,-0.1075
1100,800.00,-5.0,-0.0271
1100,800.00,0.0,0.0000
1100,800.00,5.0,-0.0271
1100,800.00,10.0,-0.1075
1100,800.00,15.0,-0.2388
1100,800.00,20.0,-0.4171
1100,800.00,25.0,-0.6368
1100,800.00,30.0,-0.8907
1100,800.00,35.0,-1.1704
1100,800.00,40.0,-1.4664
1100,800.00,45.0,-1.7684
1100,800.00,50.0,-2.0658
1100,800.00,55.0,-2.3488
1100,800.00,60.0,-2.6081
1100,800.00,65.0,-2.8365
1100,800.00,70.0,-3.0283
1100,800.00,75.0,-3.1797
1100,800.00,80.0,-3.2888
1100,800.00,85.0,-3.3544
1100,800.00,90.0,-3.3764
1100,821.37,-90.0,-3.8637
1100,821.37,-85.0,-3.8382
1100,821.37,-80.0,-3.7618
1100,821.37,-75.0,-3.6349
1100,821.37,-70.0,-3.4586
1100,821.37,-65.0,-3.2355
1100,821.37,-60.0,-2.9703
1100,821.37,-55.0,-2.6699
1100,821.37,-50.0,-2.3432
1100,821.37,-45.0,-2.0012
1100,821.37,-40.0,-1.6556
1100,821.37,-35.0,-1.3183
1100,821.37,-30.0,-1.0011
1100,821.37,-25.0,-0.7143
1100,821.37,-20.0,-0.4671
1100,821.37,-15.0,-0.2671
1100,821.37,-10.0,-0.1201
1100,821.37,-5.0,-0.0302
1100,821.37,0.0,0.0000
1100,821.37,5.0,-0.0302
1100,821.37,10.0,-0.1201
1100,821.37,15.0,-0.2671
1100,821.37,20.0,-0.4671
1100,821.37,25.0,-0.7143
1100,821.37,30.0,-1.0011
1100,821.37,35.0,-1.3183
1100,821.37,40.0,-1.6556
1100,821.37,45.0,-2.0012
1100,821.37,50.0,-2.3432
1100,821.37,55.0,-2.6699
1100,821.37,60.0,-2.9703
1100,821.37,65.0,-3.2355
1100,821.37,70.0,-3.4586
1100,821.37,75.0,-3.6349
1100,821.37,80.0,-3.7618
1100,821.37,85.0,-3.8382
1100,821.37,90.0,-3.8637
1100,842.74,-90.0,-4.4085
1100,842.74,-85.0,-4.3788
1100,842.74,-80.0,-4.2897
1100,842.74,-75.0,-4.1418
1100,842.74,-70.0,-3.9363
1100,842.74,-65.0,-3.6768
1100,842.74,-60.0,-3.3689
1100,842.74,-55.0,-3.0212
1100,842.74,-50.0,-2.6448
1100,842.74,-45.0,-2.2527
1100,842.74,-40.0,-1.8586
1100,842.74,-35.0,-1.4762
1100,842.74,-30.0,-1.1183
1100,842.74,-25.0,-0.7962
1100,842.74,-20.0,-0.5198
1100,842.74,-15.0,-0.2968
1100,842.74,-10.0,-0.1333
1100,842.74,-5.0,-0.0335
1100,842.74,0.0,0.0000
1100,842.74,5.0,-0.0335
1100,842.74,10.0,-0.1333
1100,842.74,15.0,-0.2968
1100,842.74,20.0,-0.5198
1100,842.74,25.0,-0.7962
1100,842.74,30.0,-1.1183
1100,842.74,35.0,-1.4762
1100,842.74,40.0,-1.8586
1100,842.74,45.0,-2.2527
1100,842.74,50.0,-2.6448
1100,842.74,55.0,-3.0212
1100,842.74,60.0,-3.3689
1100,842.74,65.0,-3.6768
1100,842.74,70.0,-3.9363
1100,842.74,75.0,-4.1418
1100,842.74,80.0,-4.2897
1100,842.74,85.0,-4.3788
1100,842.74,90.0,-4.4085
1100,864.11,-90.0,-5.0179
1100,864.11,-85.0,-4.9831
1100,864.11,-80.0,-4.8791
1100,864.11,-75.0,-4.7062
1100,864.11,-70.0,-4.4664
1100,864.11,-65.0,-4.1639
1100,864.11,-60.0,-3.8062
1100,864.11,-55.0,-3.4041
1100,864.11,-50.0,-2.9712
1100,864.11,-45.0,-2.5229
1100,864.11,-40.0,-2.0752
1100,864.11,-35.0,-1.6435
1100,864.11,-30.0,-1.2417
1100,864.11,-25.0,-0.8821
1100,864.11,-20.0,-0.5747
1100,864.11,-15.0,-0.3277
1100,864.11,-10.0,-0.1470
1100,864.11,-5.0,-0.0370
1100,864.11,0.0,0.0000
1100,864.11,5.0,-0.0370
1100,864.11,10.0,-0.1470
1100,864.11,15.0,-0.3277
1100,864.11,20.0,-0.5747
1100,864.11,25.0,-0.8821
1100,864.11,30.0,-1.2417
1100,864.11,35.0,-1.6435
1100,864.11,40.0,-2.0752
1100,864.11,45.0,-2.5229
1100,864.11,50.0,-2.9712
1100,864.11,55.0,-3.4041
1100,864.11,60.0,-3.8062
1100,864.11,65.0,-4.1639
1100,864.11,70.0,-4.4664
1100,864.11,75.0,-4.7062
1100,864.11,80.0,-4.8791
1100,864.11,85.0,-4.9831
1100,864.11,90.0,-5.0179
1100,885.48,-90.0,-5.7009
1100,885.48,-85.0,-5.6602
1100,885.48,-80.0,-5.5380
1100,885.48,-75.0,-5.3352
1100,885.48,-70.0,-5.0543
1100,885.48,-65.0,-4.7010
1100,885.48,-60.0,-4.2850
1100,885.48,-55.0,-3.8199
1100,885.48,-50.0,-3.3227
1100,885.48,-45.0,-2.8115
1100,885.48,-40.0,-2.3047
1100,885.48,-35.0,-1.8194
1100,885.48,-30.0,-1.3707
1100,885.48,-25.0,-0.9713
1100,885.48,-20.0,-0.6316
1100,885.48,-15.0,-0.3595
1100,885.48,-10.0,-0.1611
1100,885.48,-5.0,-0.0405
1100,885.48,0.0,0.0000
1100,885.48,5.0,-0.0405
1100,885.48,10.0,-0.1611
1100,885.48,15.0,-0.3595
1100,885.48,20.0,-0.6316
1100,885.48,25.0,-0.9713
1100,885.48,30.0,-1.3707
1100,885.48,35.0,-1.8194
1100,885.48,40.0,-2.3047
1100,885.48,45.0,-2.8115
1100,885.48,50.0,-3.3227
1100,885.48,55.0,-3.8199
1100,885.48,60.0,-4.2850
1100,885.48,65.0,-4.7010
1100,885.48,70.0,-5.0543
1100,885.48,75.0,-5.3352
1100,885.48,80.0,-5.5380
1100,885.48,85.0,-5.6602
1100,885.48,90.0,-5.7009
1100,906.84,-90.0,-6.4690
1100,906.84,-85.0,-6.4209
1100,906.84,-80.0,-6.2767
1100,906.84,-75.0,-6.0376
1100,906.84,-70.0,-5.7070
1100,906.84,-65.0,-5.2928
1100,906.84,-60.0,-4.8079
1100,906.84,-55.0,-4.2698
1100,906.84,-50.0,-3.6992
1100,906.84,-45.0,-3.1177
1100,906.84,-40.0,-2.5461
1100,906.84,-35.0,-2.0031
1100,906.84,-30.0,-1.5045
1100,906.84,-25.0,-1.0634
1100,906.84,-20.0,-0.6900
1100,906.84,-15.0,-0.3921
1100,906.84,-10.0,-0.1755
1100,906.84,-5.0,-0.0441
1100,906.84,0.0,0.0000
1100,906.84,5.0,-0.0441
1100,906.84,10.0,-0.1755
1100,906.84,15.0,-0.3921
1100,906.84,20.0,-0.6900
1100,906.84,25.0,-1.0634
1100,906.84,30.0,-1.5045
1100,906.84,35.0,-2.0031
1100,906.84,40.0,-2.5461
1100,906.84,45.0,-3.1177
1100,906.84,50.0,-3.6992
1100,906.84,55.0,-4.2698
1100,906.84,60.0,-4.8079
1100,906.84,65.0,-5.2928
1100,906.84,70.0,-5.7070
1100,906.84,75.0,-6.0376
1100,906.84,80.0,-6.2767
1100,906.84,85.0,-6.4209
1100,906.84,90.0,-6.4690
1100,928.21,-90.0,-7.3371
1100,928.21,-85.0,-7.2799
1100,928.21,-80.0,-7.1082
1100,928.21,-75.0,-6.8240
1100,928.21,-70.0,-6.4324
1100,928.21,-65.0,-5.9445
1100,928.21,-60.0,-5.3777
1100,928.21,-55.0,-4.7546
1100,928.21,-50.0,-4.1005
1100,928.21,-45.0,-3.4406
1100,928.21,-40.0,-2.7983
1100,928.21,-35.0,-2.1934
1100,928.21,-30.0,-1.6422
